name_1,tot_pop,avg_pm2.5_2021,le_gain,llpp_who_2021,lyl_bucket,order_lyl_bucket
Jawa Barat,49104031,24.875018205939142,1.947751784182036,1.948644650171388,1 to < 2,4
Jawa Timur,41143691,19.601374536377886,1.430934704565033,1.4307701596339522,1 to < 2,4
Jawa Tengah,37159099,19.602569402718835,1.431051801466446,1.430309887761272,1 to < 2,4
Sumatera Utara,14960225,25.041742793306916,1.964090793744078,1.9638328708291486,1 to < 2,4
Banten,12070699,23.847167943629444,1.8470224584756856,1.8462848241017358,1 to < 2,4
Jakarta Raya,10677416,29.668532172952705,2.417516152949365,2.4182241742758737,2 to < 3,5
Lampung,9081441,14.152898579641711,0.8969840608048877,0.8970059509278318,0.5 to < 1,3
Sulawesi Selatan,9076591,15.059372302883318,0.9858184856825652,0.9867562810751305,0.5 to < 1,3
Sumatera Selatan,8648584,14.347273771058939,0.9160328295637761,0.9154782551687074,0.5 to < 1,3
Riau,6405840,10.427014997252506,0.5318474697307456,0.5312485497608432,0.5 to < 1,3
