District Coordination Committee,Population (Millions),Annual Average 2021 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2021 concentration by 30 percent
Kathmandu,2,40.5,3.5,1.2
Morang,1.1,61.3,5.5,1.8
Rupandehi,1,68.4,6.2,2
Jhapa,0.9,58.7,5.3,1.7
Kailali,0.9,54.9,4.9,1.6
Sarlahi,0.9,78,7.2,2.3
Dhanusha,0.9,80,7.4,2.4
Sunsari,0.9,61.4,5.5,1.8
Bara,0.8,78.7,7.2,2.3
Rautahat,0.8,80.8,7.4,2.4
Saptari,0.7,68,6.2,2
Siraha,0.7,73.5,6.7,2.2
Mahottari,0.7,81.7,7.5,2.4
Parsa,0.7,78.1,7.2,2.3
Chitawan,0.7,55.4,4.9,1.6
Kapilbastu,0.7,67.6,6.1,2
Dang,0.6,44.4,3.9,1.3
Banke,0.6,61.8,5.6,1.8
Kaski,0.6,34.1,2.9,1
Kanchanpur,0.5,52.7,4.7,1.5
Lalitpur,0.5,38.7,3.3,1.1
Bardiya,0.5,60.2,5.4,1.8
Makawanpur,0.5,47.8,4.2,1.4
Kabhrepalanchok,0.4,37.9,3.2,1.1
Surkhet,0.4,40.1,3.4,1.2
