objectid_gadm2,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021,continent.x,continent.y,continent,lyl_bucket,order_lyl_bucket
17713,IND,India,NCT of Delhi,NCT of Delhi,18030054,5,40,76.81,74.27,81.44,86.9,92.46,105.62,97.23,98.75,91.17,100.48,107.23,101.27,123.96,129.09,109.2,111.15,105.15,104.73,116,113.35,116.14,124.41,111.6,126.51,7.04,6.79,7.49,8.03,8.57,9.86,9.04,9.19,8.44,9.36,10.02,9.43,11.66,12.16,10.21,10.4,9.81,9.77,10.88,10.62,10.89,11.7,10.45,11.91,3.61,3.36,4.06,4.6,5.14,6.43,5.61,5.76,5.01,5.93,6.59,6,8.23,8.73,6.78,6.97,6.38,6.34,7.45,7.19,7.46,8.27,7.02,8.48,Asia,NA,Asia,>= 6,9
17982,IND,India,West Bengal,North 24 Parganas,11094091,5,40,32.44,36.79,39.8,41.65,43.97,43.38,45.48,46.29,53.47,54.4,58.21,61.2,53.26,60.44,59.6,58.11,64.18,58.42,65.09,57.91,66.82,56.85,65.9,62.17,2.69,3.12,3.41,3.59,3.82,3.76,3.97,4.05,4.75,4.84,5.21,5.51,4.73,5.43,5.35,5.21,5.8,5.24,5.89,5.18,6.06,5.08,5.97,5.6,0,0,0,0.16,0.39,0.33,0.54,0.62,1.32,1.41,1.78,2.08,1.3,2,1.92,1.78,2.37,1.81,2.46,1.75,2.63,1.65,2.54,2.17,Asia,NA,Asia,5 to < 6,8
17986,IND,India,West Bengal,South 24 Parganas,8750991,5,40,31.29,35.02,37.99,39.28,41.23,40.41,43.73,47.74,53.42,53.14,55.61,59.78,52.54,56.51,57.61,56.23,62.81,56.6,63.64,56.36,63.74,54.83,62.71,59.26,2.58,2.94,3.23,3.36,3.55,3.47,3.8,4.19,4.75,4.72,4.96,5.37,4.66,5.05,5.16,5.02,5.67,5.06,5.75,5.03,5.76,4.88,5.66,5.32,0,0,0,0,0.12,0.04,0.37,0.76,1.32,1.29,1.53,1.94,1.23,1.62,1.73,1.59,2.24,1.63,2.32,1.6,2.33,1.45,2.23,1.89,Asia,NA,Asia,5 to < 6,8
17970,IND,India,West Bengal,Barddhaman,8343103,5,40,36.7,38.21,44.09,44.73,48.59,47.75,50.74,51.68,56.46,59.1,65.91,65.26,55.49,68.92,63.33,65.19,67.39,65.94,68.15,66.46,71.04,65.22,76.58,73.23,3.11,3.25,3.83,3.89,4.27,4.19,4.48,4.57,5.04,5.3,5.97,5.91,4.95,6.26,5.72,5.9,6.11,5.97,6.19,6.02,6.47,5.9,7.02,6.69,0,0,0.4,0.46,0.84,0.76,1.05,1.14,1.61,1.87,2.54,2.48,1.52,2.83,2.29,2.47,2.68,2.54,2.76,2.59,3.04,2.47,3.59,3.26,Asia,NA,Asia,>= 6,9
17980,IND,India,West Bengal,Murshidabad,7711949,5,40,36.65,38.88,43.79,44.06,45.63,44.26,45.38,47.02,51.91,50.26,57.43,55.52,49,63.66,57.07,58.27,57.79,59.17,59.56,59.77,64.45,59.29,64.61,63.89,3.1,3.32,3.8,3.83,3.98,3.85,3.96,4.12,4.6,4.44,5.14,4.95,4.31,5.75,5.1,5.22,5.17,5.31,5.35,5.37,5.83,5.32,5.84,5.77,0,0,0.37,0.4,0.55,0.42,0.53,0.69,1.17,1.01,1.71,1.52,0.88,2.32,1.67,1.79,1.74,1.88,1.92,1.94,2.4,1.89,2.41,2.34,Asia,NA,Asia,5 to < 6,8
17384,IND,India,Bihar,Patna,6718984,5,40,57.59,58.65,63.24,72.47,69.51,73.16,74.39,69.79,77.23,80.15,90.63,87.76,83.6,98.51,86.64,95.12,89.82,83.85,97.91,83.42,89.04,96.74,92.17,93.36,5.15,5.26,5.71,6.61,6.32,6.68,6.8,6.35,7.08,7.37,8.39,8.11,7.7,9.16,8,8.83,8.31,7.73,9.1,7.69,8.24,8.99,8.54,8.66,1.72,1.83,2.28,3.18,2.89,3.25,3.37,2.92,3.65,3.94,4.96,4.68,4.27,5.73,4.57,5.4,4.88,4.3,5.67,4.26,4.81,5.56,5.11,5.23,Asia,NA,Asia,>= 6,9
17983,IND,India,West Bengal,Pashchim Medinipur,6372521,5,40,29.69,33.18,37.09,37.42,39.1,39.15,41.34,43.91,47.29,48.07,54.32,54.39,48.99,55.46,54.31,54.21,61.19,55.47,57.99,54.58,56.93,54.86,62.59,64.34,2.42,2.76,3.14,3.18,3.34,3.35,3.56,3.81,4.14,4.22,4.83,4.84,4.31,4.94,4.83,4.82,5.51,4.95,5.19,4.86,5.09,4.89,5.64,5.82,0,0,0,0,0,0,0.13,0.38,0.71,0.79,1.4,1.41,0.88,1.51,1.4,1.39,2.08,1.52,1.76,1.43,1.66,1.46,2.21,2.39,Asia,NA,Asia,5 to < 6,8
17974,IND,India,West Bengal,Hooghly,5980019,5,40,34.49,37.21,43.56,44.04,48.48,48.43,49.37,52.16,56.66,58.1,64.53,67.18,58.01,66.97,64.07,63.67,71.51,66.14,69.57,65.2,72.58,64.36,77.21,72.83,2.89,3.16,3.78,3.83,4.26,4.26,4.35,4.62,5.06,5.2,5.83,6.09,5.2,6.07,5.79,5.75,6.52,5.99,6.33,5.9,6.62,5.82,7.08,6.65,0,0,0.35,0.4,0.83,0.83,0.92,1.19,1.63,1.77,2.4,2.66,1.77,2.64,2.36,2.32,3.09,2.56,2.9,2.47,3.19,2.39,3.65,3.22,Asia,NA,Asia,>= 6,9
17385,IND,India,Bihar,Purba Champaran,5844764,5,40,60.89,61.97,72.3,80.39,74.16,77.73,78.39,80.19,91.36,92.35,96.19,98.08,91.27,95.13,91.75,93.02,90.61,87.85,94.79,89.36,90.4,98.14,98.66,94.83,5.48,5.58,6.6,7.39,6.78,7.13,7.19,7.37,8.46,8.56,8.94,9.12,8.45,8.83,8.5,8.63,8.39,8.12,8.8,8.27,8.37,9.13,9.18,8.8,2.05,2.15,3.17,3.96,3.35,3.7,3.76,3.94,5.03,5.13,5.51,5.69,5.02,5.4,5.07,5.2,4.96,4.69,5.37,4.84,4.94,5.7,5.75,5.37,Asia,NA,Asia,>= 6,9
17981,IND,India,West Bengal,Nadia,5654066,5,40,36.66,37.89,45.03,45.4,48.04,48.08,48.19,50.93,54.77,57.15,62.57,61.55,54.24,68.52,62.63,63.45,64.35,60.94,65.05,61.37,71.01,61.56,71.93,67.21,3.1,3.22,3.92,3.96,4.22,4.22,4.23,4.5,4.88,5.11,5.64,5.54,4.83,6.23,5.65,5.73,5.82,5.48,5.88,5.52,6.47,5.54,6.56,6.1,0,0,0.49,0.53,0.79,0.79,0.8,1.07,1.45,1.68,2.21,2.11,1.4,2.8,2.22,2.3,2.39,2.05,2.45,2.09,3.04,2.11,3.13,2.67,Asia,NA,Asia,>= 6,9
