objectid_gadm2,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021,continent.x,continent.y,continent,lyl_bucket,order_lyl_bucket
30736,POL,Poland,Mazowieckie,Warszawa,1753414,5,25,24.36,22.52,20.69,21.6,22.76,22.79,20.09,19.96,23.21,19.13,18.99,21.67,25.43,22.91,21.8,20.06,20.81,19.9,19.09,17.88,17.87,14.54,13.59,17.17,1.9,1.72,1.54,1.63,1.74,1.74,1.48,1.47,1.78,1.38,1.37,1.63,2,1.76,1.65,1.48,1.55,1.46,1.38,1.26,1.26,0.94,0.84,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,1 to < 2,4
30685,POL,Poland,Małopolskie,Kraków (City),761631,5,25,42.83,40.62,35.15,40.29,41.68,42.31,35.84,38.47,39.63,31.73,30.09,35.13,39.96,37.41,33.32,33.46,30.6,30.57,29.08,30.76,27.95,23.33,23.62,26.49,3.71,3.49,2.95,3.46,3.6,3.66,3.02,3.28,3.39,2.62,2.46,2.95,3.43,3.18,2.78,2.79,2.51,2.51,2.36,2.52,2.25,1.8,1.83,2.11,1.75,1.53,0.99,1.5,1.64,1.7,1.06,1.32,1.43,0.66,0.5,0.99,1.47,1.22,0.82,0.83,0.55,0.55,0.4,0.56,0.29,0,0,0.15,Europe,NA,Europe,2 to < 3,5
30622,POL,Poland,Łódzkie,Łódź,685253,5,25,31.59,29.24,26.3,28.49,30.44,30,25.94,26.44,30.02,22.73,22.7,25.87,29.65,27.17,25.64,23.9,24.5,22.38,21.31,23.12,22.83,18.58,17.74,21.49,2.61,2.38,2.09,2.3,2.49,2.45,2.05,2.1,2.45,1.74,1.73,2.05,2.42,2.17,2.02,1.85,1.91,1.7,1.6,1.78,1.75,1.33,1.25,1.62,0.65,0.42,0.13,0.34,0.53,0.49,0.09,0.14,0.49,0,0,0.09,0.46,0.21,0.06,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,1 to < 2,4
30590,POL,Poland,Dolnośląskie,Wrocław (City),634799,5,25,26.49,25.01,24.29,27.81,29.91,29.98,24.42,27.73,27.52,21.47,20.53,24.21,30.81,25.63,22.56,22.87,22.69,20.06,20.41,20.53,20.09,15.81,15.33,16.75,2.11,1.96,1.89,2.24,2.44,2.45,1.9,2.23,2.21,1.61,1.52,1.88,2.53,2.02,1.72,1.75,1.73,1.48,1.51,1.52,1.48,1.06,1.01,1.15,0.15,0,0,0.28,0.48,0.49,0,0.27,0.25,0,0,0,0.57,0.06,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,1 to < 2,4
30912,POL,Poland,Wielkopolskie,Poznań (City),534227,5,25,23.87,21.53,21.01,22.77,23.94,25.12,21.16,22.92,24.59,19.2,19.62,20.97,25.04,21.13,18.8,18.21,19.42,17.74,17.77,17.91,18.35,15.09,13.52,16.46,1.85,1.62,1.57,1.74,1.86,1.97,1.58,1.76,1.92,1.39,1.43,1.56,1.96,1.58,1.35,1.29,1.41,1.25,1.25,1.27,1.31,0.99,0.84,1.12,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,1 to < 2,4
30801,POL,Poland,Pomorskie,Gdańsk (City),459518,5,25,19.04,18.42,17.22,16.52,17.58,18.02,14.65,16.06,18.9,14.89,14.88,16.86,18.7,15.97,14.61,13.5,16.03,13.37,12.48,12.9,13.94,11.51,10.49,13.77,1.38,1.31,1.2,1.13,1.23,1.28,0.95,1.08,1.36,0.97,0.97,1.16,1.34,1.08,0.94,0.83,1.08,0.82,0.73,0.77,0.88,0.64,0.54,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,0.5 to < 1,3
30941,POL,Poland,Zachodniopomorskie,Szczecin,399889,5,25,17.08,15.84,14.96,14.84,16.04,17.81,14.66,14.76,16.02,12.47,12.52,14.4,15.8,14.87,12.34,11.96,13.57,11.76,12.01,12.38,12.59,10.49,8.78,9.82,1.18,1.06,0.98,0.96,1.08,1.25,0.95,0.96,1.08,0.73,0.74,0.92,1.06,0.97,0.72,0.68,0.84,0.66,0.69,0.72,0.74,0.54,0.37,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,0.1 to < 0.5,2
30911,POL,Poland,Wielkopolskie,Poznań,380238,5,25,24.09,21.72,21.26,23.3,24.92,25.71,21.88,23.44,25.02,19.05,19.56,21.22,25.53,21.61,19.37,18.98,20.2,18.31,18.41,18.73,18.99,15.42,13.64,16.88,1.87,1.64,1.59,1.79,1.95,2.03,1.65,1.81,1.96,1.38,1.43,1.59,2.01,1.63,1.41,1.37,1.49,1.3,1.31,1.35,1.37,1.02,0.85,1.16,0,0,0,0,0,0.07,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,1 to < 2,4
30597,POL,Poland,Kujawsko-Pomorskie,Bydgoszcz (City),350534,5,25,22.32,20.63,20.08,21.73,23.89,23.59,19.62,21.33,23.47,17.8,18.02,19.53,22.76,20.6,19.22,18.53,19.7,18,17.6,17.91,18.94,14.7,12.63,15.66,1.7,1.53,1.48,1.64,1.85,1.82,1.43,1.6,1.81,1.25,1.28,1.42,1.74,1.53,1.39,1.33,1.44,1.27,1.23,1.26,1.37,0.95,0.75,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,1 to < 2,4
30653,POL,Poland,Lubelskie,Lublin (City),337743,5,25,24.72,24.28,22.01,23,24.7,24.1,22.11,21.23,23.84,19.4,19.29,21.42,24.74,23.39,22.03,21.54,21.09,20.9,20.8,19.56,18.14,16.66,15.57,18.04,1.93,1.89,1.67,1.76,1.93,1.87,1.68,1.59,1.85,1.41,1.4,1.61,1.93,1.8,1.67,1.62,1.58,1.56,1.55,1.43,1.29,1.14,1.04,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,1 to < 2,4
