Region,Population (Millions),PM2.5 concentration 2021 (in µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations to the WHO Guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations to the National Guideline of 15 µg/m³
Suwon,1.3,23.2,1.8,0.8
Goyang,1,23.2,1.8,0.8
Changwon,1,18.3,1.3,0.3
Yongin,1,22.3,1.7,0.7
Seongnam,1,20.4,1.5,0.5
Bucheon,0.9,25.8,2,1.1
Cheongju,0.8,19.5,1.4,0.4
Ansan,0.8,23.8,1.8,0.9
Hwaseong,0.7,24.8,1.9,1
Namyangju,0.7,18.7,1.3,0.4
Jeonju,0.6,19.2,1.4,0.4
Cheonan,0.6,20.2,1.5,0.5
Songpa,0.6,20.1,1.5,0.5
Anyang,0.6,22.6,1.7,0.8
Dalseo,0.6,18.3,1.3,0.3
Gangseo,0.6,24.2,1.9,0.9
Bupyeong,0.5,25.7,2,1
Nowon,0.5,19.2,1.4,0.4
Namdong,0.5,25.2,2,1
Gimhae,0.5,19.1,1.4,0.4
Gangnam,0.5,20.5,1.5,0.5
Seo,0.5,25,2,1
Gwanak,0.5,23.1,1.8,0.8
Pyeongtaek,0.5,24.5,1.9,0.9
Pohang,0.5,17.8,1.3,0.3
