years,region,pop_weighted_avg_pm2.5
1998,Central,18.871532844361248
1999,Central,17.78139203572081
2000,Central,19.373957201394244
2001,Central,18.243900475498528
2002,Central,20.28171429185084
2003,Central,20.83486200762073
2004,Central,22.270040731965548
2005,Central,22.519426093415863
2006,Central,21.305791455367782
2007,Central,23.74175665029472
2008,Central,22.691955637990375
2009,Central,22.29524087885836
2010,Central,22.08514256867623
2011,Central,23.46735984402392
2012,Central,22.491987418207952
2013,Central,24.49579667090539
2014,Central,21.563548886005076
2015,Central,19.741825801451785
2016,Central,21.98170068938077
2017,Central,19.429972402203827
2018,Central,21.0740708455356
2019,Central,19.941959501301216
2020,Central,22.677564896519478
2021,Central,21.4662362197082
1998,Northeastern,21.53609349004477
1999,Northeastern,17.00965872697809
2000,Northeastern,19.67816012328823
2001,Northeastern,21.896972948377023
2002,Northeastern,22.275356462229215
2003,Northeastern,22.23820093313223
2004,Northeastern,25.533306888057485
2005,Northeastern,26.94179231375605
2006,Northeastern,24.81753268583366
2007,Northeastern,28.403727888138484
2008,Northeastern,27.58231738301568
2009,Northeastern,24.283977106337158
2010,Northeastern,27.003278196861995
2011,Northeastern,27.26143214144476
2012,Northeastern,24.43500065064082
2013,Northeastern,27.236638046235203
2014,Northeastern,25.985795887780604
2015,Northeastern,22.422028007731456
2016,Northeastern,26.303536317034137
2017,Northeastern,23.942245876583655
2018,Northeastern,23.086543791197766
2019,Northeastern,22.421289548400214
2020,Northeastern,25.582075677627326
2021,Northeastern,24.66734203272051
1998,Northern,27.67055712744107
1999,Northern,23.797598435761962
2000,Northern,25.34883503558932
2001,Northern,26.451724174145884
2002,Northern,28.66914933656396
2003,Northern,28.531149422035774
2004,Northern,33.251146083617385
2005,Northern,31.95814924365229
2006,Northern,30.338238881786424
2007,Northern,34.27821584851626
2008,Northern,28.938435905567832
2009,Northern,30.643881498345152
2010,Northern,31.088548579567426
2011,Northern,29.95769979858757
2012,Northern,31.249060156932483
2013,Northern,31.003757664563956
2014,Northern,31.300534018042164
2015,Northern,27.379152043459822
2016,Northern,30.494337333033663
2017,Northern,26.730273637844842
2018,Northern,26.89884806225532
2019,Northern,29.656035735004842
2020,Northern,32.19426106933546
2021,Northern,29.964938287272847
1998,Southern,13.565728164895559
1999,Southern,13.991508777221451
2000,Southern,16.134062340655888
2001,Southern,15.852890497190675
2002,Southern,14.900138685073061
2003,Southern,17.581261709047308
2004,Southern,18.089198450823325
2005,Southern,17.3522309594037
2006,Southern,18.543032177324534
2007,Southern,19.37100597001341
2008,Southern,17.595348484319324
2009,Southern,17.061804271189526
2010,Southern,16.814193345461742
2011,Southern,19.770311641896562
2012,Southern,16.715573190078413
2013,Southern,18.266319382488312
2014,Southern,18.640935164871216
2015,Southern,20.21491500377293
2016,Southern,16.169965752591047
2017,Southern,16.545988859008837
2018,Southern,16.593064635105286
2019,Southern,18.288511427268176
2020,Southern,17.22827978418629
2021,Southern,17.3356961992361
1998,National Average,20.341585349820516
1999,National Average,18.057722471189305
2000,National Average,20.011531838038312
2001,National Average,20.28201577289132
2002,National Average,21.489996195194706
2003,National Average,22.057100300270342
2004,National Average,24.420418706445826
2005,National Average,24.594005443427726
2006,National Average,23.392229821318402
2007,National Average,26.1732249587957
2008,National Average,24.371379277838262
2009,National Average,23.515908904167606
2010,National Average,24.208079296608403
2011,National Average,25.079493330367885
2012,National Average,23.694292320063408
2013,National Average,25.478707619033166
2014,National Average,23.99377237602301
2015,National Average,21.810109423061345
2016,National Average,23.786613050782208
2017,National Average,21.48368241840095
2018,National Average,21.982918744384246
2019,National Average,22.011948305828795
2020,National Average,24.313111662553354
2021,National Average,23.192600283508195
