State,Population (millions),"PM2.5 Concentration, 1970 (µg/m³)","PM2.5 Concentration, 2021 (µg/m³)","Years of Life Expectancy Gained due to Decrease in PM2.5, 1970-2021",Years of Life Expectancy Gain through Reducing PM2.5 from 2021 Concentration to WHO Guideline
Alabama,5,38.5,7.9,3,0.3
Alaska,0.7,9.2,3.2,0.6,0
Arizona,7.1,16,6.5,0.9,0.1
Arkansas,3,NA,8.1,NA,0.3
California,39.5,20.9,9.7,1.1,0.5
Colorado,5.8,13.9,6.8,0.7,0.2
Connecticut,3.6,19.2,7.2,1.2,0.2
Delaware,1,36.3,7.8,2.8,0.3
District of Columbia,0.9,38.5,7.9,3,0.3
Florida,21.3,12.4,6.4,0.6,0.1
Georgia,10.7,NA,8.1,NA,0.3
Hawaii,1.4,4.9,1.9,0.3,0
Idaho,1.9,17.6,8.3,0.9,0.3
Illinois,12.8,26.9,9.4,1.7,0.4
Indiana,6.8,35,9.6,2.5,0.5
Iowa,3.2,20.7,8.3,1.2,0.3
Kansas,2.9,22.9,8.3,1.4,0.3
Kentucky,4.5,45.8,8.6,3.6,0.4
Louisiana,4.6,32.8,7.7,2.5,0.3
Maine,1.3,7.3,5.3,0.2,0
Maryland,6,31.7,7.8,2.3,0.3
Massachusetts,7,21.2,6.8,1.4,0.2
Michigan,9.9,29.6,8.6,2.1,0.4
Minnesota,5.7,13.9,7.8,0.6,0.3
Mississippi,2.9,NA,7.8,NA,0.3
Missouri,6.1,23.9,8.2,1.5,0.3
Montana,1.1,19,8.2,1.1,0.3
Nebraska,2,NA,8,NA,0.3
Nevada,3.2,9.5,7,0.2,0.2
New Hampshire,1.4,18.5,6.3,1.2,0.1
New Jersey,9.2,24.9,7.5,1.7,0.2
New Mexico,2.1,9.2,5.2,0.4,0
New York,20,28.3,7.4,2,0.2
North Carolina,10.5,29,7.4,2.1,0.2
North Dakota,0.8,13.4,7.2,0.6,0.2
Ohio,11.8,31.4,8.9,2.2,0.4
Oklahoma,3.9,19.2,8.4,1.1,0.3
Oregon,4.2,15.8,5.3,1,0
Pennsylvania,13,35,8.8,2.6,0.4
Rhode Island,1.1,22.8,7.4,1.5,0.2
South Carolina,5.1,23.8,6.9,1.7,0.2
South Dakota,0.9,NA,7.9,NA,0.3
Tennessee,7,35,8,2.6,0.3
Texas,29.5,17.6,7.5,1,0.2
Utah,3.4,15.5,7.3,0.8,0.2
Vermont,0.6,22.4,6.1,1.6,0.1
Virginia,8.6,27.9,7.1,2,0.2
Washington,7.6,12.1,4.8,0.7,-0
West Virginia,1.8,33.7,7.5,2.6,0.2
Wisconsin,5.8,23.9,8.5,1.5,0.3
Wyoming,0.6,NA,6.8,NA,0.2
