country,name_1,name_2,city,pop_2011_city,other_info
India,Andhra Pradesh,Anantapur,anantapur,261004,
India,Andhra Pradesh,Chittoor,chitoor,153756,
India,Andhra Pradesh,West Godavari,eluru,203780,
India,Andhra Pradesh,Guntur,guntur,647508,
India,Andhra Pradesh,Y.S.R.,kadapa,344893,
India,Andhra Pradesh,Kurnool,kurnool,430214,
India,Andhra Pradesh,Nellore,nellore,499575,
India,Andhra Pradesh,Prakasam,ongole,204746,
India,Andhra Pradesh,East Godavari,rajahmundry,341831,
India,Andhra Pradesh,Srikakulam,srikakulam,125939,
India,Andhra Pradesh,Krishna,vijayawada,1034358,
India,Andhra Pradesh,Visakhapatnam,vishakhapatnam,"1,728,128",
India,Andhra Pradesh,Vizianagaram,vizianagaram,"228,025",
India,Assam,Kamrup Metropolitan,guwahati,957352,
India,Assam,Nagaon,nagaon,148496,
India,Assam,Nalbari,nalbari,"27,839",
India,Assam,Sivasagar,sibsagar,"50,781",
India,Assam,Cachar,silchar,229136,
India,Bihar,Gaya,gaya,468614,
India,Bihar,Muzaffarpur,muzaffarpur,354462,
India,Bihar,Patna,patna,1684222,
India,Chandigarh,Chandigarh,chandigarh,960787,
India,Chhattisgarh,Durg,bhilai,625700,
India,Chhattisgarh,Korba,korba,363390,
India,Chhattisgarh,Raipur,raipur,1010087,
India,NCT of Delhi,NCT of Delhi,nct of delhi,"11,034,555",
India,Gujarat,Ahmadabad,ahmedabad,5570585,
India,Gujarat,Surat,surat,4467797,
India,Gujarat,Vadodara,vadodara,3552371,
India,Himachal Pradesh,Solan,baddi,29911,
India,Himachal Pradesh,Kangra,damtal,3682,"Flagging that this is a village, not a city: https://www.census2011.co.in/data/village/8686-damtal-himachal-pradesh.html"
India,Himachal Pradesh,Sirmaur,kala amb,"29,425","Reference: https://en.wikipedia.org/wiki/Kala_Amb. For this it was unclear as to what the correct number is, but this because there is a village of the same name (which had ~150 people in total). But, I have put in the population of Kala Amb town here as that seemed more plausible. But, the year for this population number was unclear."
India,Himachal Pradesh,Solan,nalagarh,10708,
India,Himachal Pradesh,Sirmaur,paonta sahib,"25,183",
