Prefecture,Population (Millions),PM2.5 concentration 2022 (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2014 concentrations to 2022 concentrations,Life Expectancy Gains from reducing PM2.5 concentrations from 2022 Concentration to the WHO Guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 concentrations from 2022 Concentration to the National Standard of 35 µg/m³
Chongqing,30.5,28.2,2.1,2.3,0
Shanghai,24.4,23,2.2,1.8,0
Beijing,20.8,34.4,3.9,2.9,0
Chengdu,14.2,38.8,1.6,3.3,0.4
Tianjin,13.7,39.5,3.7,3.4,0.4
Guangzhou,13.4,22.6,1.8,1.7,0
Baoding,11.8,42.4,5.2,3.7,0.7
Harbin,11.3,32.8,2.6,2.7,0
Suzhou,11,24.5,3,1.9,0
Nanyang,10.9,36.7,1.9,3.1,0.2
Shijiazhuang,10.8,49.9,4.8,4.4,1.5
Shenzhen,10.8,17.4,1.5,1.2,0
Linyi,10.6,34.9,2.3,2.9,0
Wuhan,10.3,35,3.5,2.9,0
Handan,9.7,42.6,3.7,3.7,0.8
Weifang,9.6,34,2,2.8,0
Zhoukou,9.5,40.5,1.8,3.5,0.5
Wenzhou,9.4,22.3,1.6,1.7,0
Hangzhou,9.4,25.3,3.1,2,0
Xi'an,9.1,45,1.2,3.9,1
Zhengzhou,9.1,40.2,2.9,3.5,0.5
Xuzhou,9.1,40,2.2,3.4,0.5
Qingdao,9.1,26.5,2,2.1,0
Ganzhou,8.9,17.8,1.9,1.2,0
Heze,8.8,42,2.2,3.6,0.7
