Local Government Area,Population (Millions),Annual Average 2022 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2022 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2022 concentration to National PM2.5 standard of 20 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2022 concentration by 30 percent
Alimosho,2.7,21.7,1.6,0.2,0.6
Abuja,2.3,32,2.6,1.2,0.9
Ikorodu,1.9,23.9,1.9,0.4,0.7
Ado Odo/Ota,1.7,22.4,1.7,0.2,0.7
Amuwo Odofin,1.6,22,1.7,0.2,0.6
Surulere,1.6,21.8,1.6,0.2,0.6
Eti-Osa,1.5,23.2,1.8,0.3,0.7
Apapa,1.5,22.1,1.7,0.2,0.6
Ungogo,1.4,25.4,2,0.5,0.7
Ikeja,1.4,21.3,1.6,0.1,0.6
Ojo,1.4,22.7,1.7,0.3,0.7
Obio/Akpor,1.2,34.1,2.9,1.4,1
Mainland,1.1,21.5,1.6,0.1,0.6
Lagos Island,1,22.1,1.7,0.2,0.6
Kosofe,1,21.6,1.6,0.2,0.6
Akko,1,20.2,1.5,0,0.6
Bwari,1,33.1,2.8,1.3,1
Konduga,0.9,11.9,0.7,0,0.3
Gezawa,0.9,25.3,2,0.5,0.7
Oshodi/Isolo,0.9,21.6,1.6,0.2,0.6
Bauchi,0.9,23,1.8,0.3,0.7
Igabi,0.9,29.9,2.4,1,0.9
Shomolu,0.8,21.1,1.6,0.1,0.6
Port Harcourt,0.8,32,2.6,1.2,0.9
Ifo,0.8,22.6,1.7,0.3,0.7
