State/UT,Population (Lakhs),Annual Average 2022 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2022 concentration to WHO PM2.5 guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2022 concentration to National PM2.5 guideline of 40 µg/m³
Andaman and Nicobar,3.9,14.2,0.9,0
Andhra Pradesh,541.4,23.6,1.8,0
Arunachal Pradesh,15.9,12,0.7,0
Assam,356.6,22.4,1.7,0
Bihar,1249.1,61.6,5.5,2.1
Chandigarh,12.1,42.5,3.7,0.2
Chhattisgarh,301.9,47.2,4.1,0.7
Dadra and Nagar Haveli,4.3,21.6,1.6,0
Daman and Diu,3,24.2,1.9,0
Goa,15.6,24.9,2,0
Gujarat,700.1,27.1,2.2,0
Haryana,295.7,58.5,5.2,1.8
Himachal Pradesh,76.4,24.7,1.9,0
Jammu and Kashmir,146.1,20,1.5,0
Jharkhand,388.8,41.5,3.6,0.1
Karnataka,691.4,23,1.8,0
Kerala,345.9,17.1,1.2,0
Ladakh,3.3,6.9,0.2,0
Lakshadweep,0.5,16,1.1,0
Madhya Pradesh,846.2,35.9,3,0
Maharashtra,1273,31.8,2.6,0
Manipur,33,23.2,1.8,0
Meghalaya,37,21.9,1.7,0
Mizoram,12.9,23.3,1.8,0
NCT of Delhi,187.1,84.3,7.8,4.3
Nagaland,20.1,19.9,1.5,0
Odisha,470.4,30,2.5,0
Puducherry,13.5,20.8,1.5,0
Punjab,308.8,51.6,4.6,1.1
Rajasthan,803.6,36.8,3.1,0
Sikkim,6.4,37.2,3.2,0
Tamil Nadu,817.8,23.6,1.8,0
Telangana,389,27.7,2.2,0
Tripura,41.7,45.7,4,0.6
Uttar Pradesh,2332,65.5,5.9,2.5
Uttarakhand,117.8,35.7,3,0
West Bengal,1022.8,43.4,3.8,0.3
