Regency/City,Population (millions),Annual Average 2022 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2022 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2022 concentration to National PM2.5 guideline of 15 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2022 concentration by 30 percent
Bogor,5.6,28.3,2.3,1.3,0.8
Bandung,3.7,29.6,2.4,1.4,0.9
Tangerang,3.3,26.4,2.1,1.1,0.8
Bekasi,3.2,29.3,2.4,1.4,0.9
Jakarta Timur,3.1,29.4,2.4,1.4,0.9
Surabaya,2.9,19.9,1.5,0.5,0.6
Sukabumi,2.8,14.8,1,-0,0.4
Malang,2.7,16,1.1,0.1,0.5
Garut,2.7,17.5,1.2,0.2,0.5
Kota Bekasi,2.6,29.8,2.4,1.5,0.9
Jember,2.6,14,0.9,0,0.4
Cianjur,2.5,20.1,1.5,0.5,0.6
Kota Bandung,2.5,29.4,2.4,1.4,0.9
Jakarta Barat,2.5,26.8,2.1,1.2,0.8
Kota Medan,2.5,33,2.7,1.8,1
Karawang,2.4,26.4,2.1,1.1,0.8
Cirebon,2.4,23.2,1.8,0.8,0.7
Jakarta Selatan,2.3,29.6,2.4,1.4,0.9
Depok,2.1,31.8,2.6,1.6,0.9
Sidoarjo,2.1,22.9,1.8,0.8,0.7
Brebes,2,21,1.6,0.6,0.6
Cilacap,2,11.3,0.6,0,0.3
Deli Serdang,2,33.1,2.8,1.8,1
Kota Tangerang,1.9,28.2,2.3,1.3,0.8
Tasikmalaya,1.9,13.5,0.8,0,0.4
