District Coordination Committee,Population (Millions),Annual Average 2022 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2022 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2022 concentration by 30 percent
Chongqing,30.5,28.2,2.3,0.8
Shanghai,24.4,23,1.8,0.7
Beijing,20.8,34.4,2.9,1
NCT of Delhi,18.7,84.3,7.8,2.5
Chengdu,14.2,38.8,3.3,1.1
Dhaka,13.8,61.7,5.6,1.8
Tianjin,13.7,39.5,3.4,1.2
Guangzhou,13.4,22.6,1.7,0.7
São Paulo,12.8,14.6,0.9,0.4
Kinshasa,12.3,38.7,3.3,1.1
Baoding,11.8,42.4,3.7,1.2
North 24 Parganas,11.5,41.7,3.6,1.2
Harbin,11.3,32.8,2.7,1
Suzhou,11,24.5,1.9,0.7
Nanyang,10.9,36.7,3.1,1.1
Bangalore,10.9,31.2,2.6,0.9
Shijiazhuang,10.8,49.9,4.4,1.5
Shenzhen,10.8,17.4,1.2,0.5
Mumbai Suburban,10.8,31.5,2.6,0.9
Pune,10.7,34,2.8,1
Linyi,10.6,34.9,2.9,1
Wuhan,10.3,35,2.9,1
Los Angeles,9.9,10,0.5,0.3
Thane,9.7,29.9,2.4,0.9
Handan,9.7,42.6,3.7,1.3
