Region,Population (Millions),Annual Average 2022 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2022 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2022 concentration to National PM2.5 guideline of 15 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2022 concentration by 30 percent
Lahore,9.5,59.5,5.3,4.4,1.7
Faisalabad,7.3,37.2,3.2,2.2,1.1
East Karachi,6,32.9,2.7,1.8,1
Rawalpindi,6,48.9,4.3,3.3,1.4
Multan,5.9,43.6,3.8,2.8,1.3
West Karachi,5.6,30,2.5,1.5,0.9
South Karachi,5.5,30.2,2.5,1.5,0.9
Bahawalpur,5.4,38.9,3.3,2.3,1.1
Rahim Yar Khan,5.1,42.8,3.7,2.7,1.3
Muzaffargarh,4.9,42.9,3.7,2.7,1.3
Peshawar,4.9,62.1,5.6,4.6,1.8
Gujranwala,4.6,50.8,4.5,3.5,1.5
Malir Karachi,4.4,31.9,2.6,1.7,0.9
Central Karachi,4.4,31.6,2.6,1.6,0.9
Sargodha,4.4,38.5,3.3,2.3,1.1
Bahawalnagar,4,40,3.4,2.5,1.2
Sialkot,3.6,48.4,4.3,3.3,1.4
Jhang,3.6,36.6,3.1,2.1,1.1
Gujrat,3.5,38.3,3.3,2.3,1.1
Bhakkar,3.4,40.4,3.5,2.5,1.2
Kasur,3.4,50.8,4.5,3.5,1.5
Khanewal,3.4,40.8,3.5,2.5,1.2
Vehari,3.3,41,3.5,2.5,1.2
Attock,3.1,43.3,3.8,2.8,1.3
Sheikhupura,3,53.1,4.7,3.7,1.6
