District,Population (Hundred thousands),Annual Average 2022 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2022 concentration to WHO PM2.5 guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2022 concentration to National PM2.5 standard of 15 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2022 concentration by 30 percent
Muang Samut Prakan,9.6,18.3,1.3,0.3,0.5
Muang Nonthaburi,6.1,18.5,1.3,0.3,0.5
Muang Samut Sakhon,4.8,17.8,1.3,0.3,0.5
Phra Pra Daeng,4.4,19.2,1.4,0.4,0.6
Muang Nakhon Ratchasima,4.3,29.7,2.4,1.4,0.9
Hat Yai,4.1,16.4,1.1,0.1,0.5
Muang Chon Buri,4,15.3,1,0,0.4
Bang Plee,3.9,19.4,1.4,0.4,0.6
Muang Nakhon Pathom,3.8,20.5,1.5,0.5,0.6
Muang Khon Kaen,3.7,23.9,1.9,0.9,0.7
Pak Kret,3.6,19.7,1.4,0.5,0.6
Khlong Luang,3.6,20.9,1.6,0.6,0.6
Bang Khen,3.5,18.4,1.3,0.3,0.5
Lam Luk Ka,3.5,19.4,1.4,0.4,0.6
Chatuchak,3.3,18.6,1.3,0.4,0.5
Muang Udon Thani,3.3,21.7,1.6,0.7,0.6
Muang Rayong,3.3,15.2,1,0,0.4
Muang Phuket,3.3,11.3,0.6,0,0.3
Muang Pathum Thani,3.1,19.9,1.5,0.5,0.6
Krathum Baen,2.9,17.3,1.2,0.2,0.5
Muang Phitsanulok,2.8,28,2.3,1.3,0.8
Si Racha,2.8,16.1,1.1,0.1,0.5
Bang Lamung,2.8,15.3,1,0,0.4
Bang Kapi,2.8,19.2,1.4,0.4,0.6
Bang Khae,2.8,17.5,1.2,0.2,0.5
