le_gain_grp,country_grp,tot_population,tot_population_millions,le_gain_grp_order
>0-1,China,26523660,26.52366,2
>0-1,India,11411619,11.411619,2
>0-1,Indonesia,121929069,121.929069,2
>0-1,OECD countries,989547316,989.547316,2
>0-1,Pakistan,5408254,5.408254,2
>0-1,Rest of the World,1260411244,1260.411244,2
>1-2,China,447752446,447.752446,3
>1-2,India,121668604,121.668604,3
>1-2,Indonesia,104534920,104.53492,3
>1-2,OECD countries,280671933,280.671933,3
>1-2,Pakistan,6024378,6.024378,3
>1-2,Rest of the World,949451768,949.451768,3
>2-3,China,443219658,443.219658,4
>2-3,India,254603618,254.603618,4
>2-3,Indonesia,35766824,35.766824,4
>2-3,OECD countries,20311940,20.31194,4
>2-3,Pakistan,27055168,27.055168,4
>2-3,Rest of the World,416640371,416.640371,4
>3-4,China,291179713,291.179713,5
>3-4,India,197923604,197.923604,5
>3-4,Pakistan,83415562,83.415562,5
>3-4,Rest of the World,95773805,95.773805,5
>4-5,Bangladesh,14041888,14.041888,6
>4-5,China,186673773,186.673773,6
>4-5,India,139401805,139.401805,6
>4-5,Pakistan,82650152,82.650152,6
>4-5,Rest of the World,9525041,9.525041,6
>5-6,Bangladesh,18422625,18.422625,7
>5-6,India,132798127,132.798127,7
>5-6,Pakistan,15044236,15.044236,7
>5-6,Rest of the World,6335341,6.335341,7
>6-7,Bangladesh,49971206,49.971206,8
>6-7,India,145022465,145.022465,8
>6-7,Pakistan,8927984,8.927984,8
>6-7,Rest of the World,5444921,5.444921,8
>7-8,Bangladesh,40707957,40.707957,9
>7-8,India,75253864,75.253864,9
>7-8,Rest of the World,721563,0.721563,9
>8-9,Bangladesh,38786839,38.786839,10
>8-9,India,99703676,99.703676,10
>9,India,133754895,133.754895,11
0,China,2075146,2.075146,1
0,Indonesia,458706,0.458706,1
0,OECD countries,92489213,92.489213,1
0,Rest of the World,108787780,108.78778,1
