country,avg_pm2.5_pop_weighted_2019,avg_pm2.5_pop_weighted_2020,change_pm2.5_2019_to_2020,percent_change_pm2.5_2019_to_2020,total_population,direction_label
China,34.805984529676024,31.63254800773242,-3.1734365219436036,-9.117502535340988,1397424396,Negative
India,54.248221200282806,55.79854773049474,1.5503265302119331,2.8578384616302426,1311542277,Positive
United States,6.581608133174516,7.054015954799154,0.4724078216246381,7.177695968307081,328352413,Positive
Indonesia,21.322557760688635,16.985635856401885,-4.336921904286751,-20.339595056848776,262689519,Negative
Pakistan,41.56898259623006,44.171253301964995,2.602270705734938,6.2601260440060456,228525734,Positive
Brazil,10.077195884412632,9.954503099015955,-0.12269278539667638,-1.2175290309326736,210048299,Negative
Nigeria,22.880774744465278,23.66984056489807,0.7890658204327927,3.4485974764629113,208379440,Positive
Bangladesh,66.96924483273936,75.75862921200846,8.789384379269094,13.124508722207084,161930515,Positive
Russia,11.181893749733872,9.981252259925228,-1.2006414898086444,-10.737371653502068,140915839,Negative
Mexico,16.385583464295276,16.16476951194001,-0.22081395235526813,-1.3476111658546,127187461,Negative
Japan,10.843922922861317,10.278922967001359,-0.5649999558599585,-5.2102911453641685,125846975,Negative
Ethiopia,15.703537662224722,16.70524890021781,1.0017112379930886,6.378889009211801,108433029,Positive
Philippines,16.968054425654124,16.362089368100357,-0.6059650575537674,-3.571211185164543,107491467,Negative
Egypt,16.815072503197023,17.895397441433776,1.0803249382367532,6.424741481378406,101789667,Positive
Democratic Republic of the Congo,34.60376427750086,34.199126821014055,-0.40463745648680316,-1.1693451996778739,98570247,Negative
Vietnam,25.35936663140013,24.372701841880048,-0.9866647895200806,-3.890731199486607,97846304,Negative
Iran,17.308673365218723,17.16987744618295,-0.13879591903577193,-0.8018865230577308,83898084,Negative
Turkey,20.530918669101407,21.580374792832675,1.049456123731268,5.111588724525401,81769338,Positive
Germany,8.699578046253361,8.016141256926225,-0.6834367893271356,-7.855976297855856,80299246,Negative
Thailand,21.500603858223524,23.817531631417268,2.3169277731937434,10.776105585088336,68774011,Positive
