name_1,year,pm2.5_pollution,order_var
Chhattisgarh,2016,55.65942067850335,e
Chhattisgarh,2017,54.035520194263036,e
Chhattisgarh,2018,54.10045980365571,e
Chhattisgarh,2019,56.51406619271565,e
Chhattisgarh,2020,61.53515075680075,e
Gujarat,2016,30.42148770931278,a
Gujarat,2017,33.91268711421568,a
Gujarat,2018,31.463094477905507,a
Gujarat,2019,36.359975428708644,a
Gujarat,2020,36.825298709618245,a
Madhya Pradesh,2016,45.82426805944109,c
Madhya Pradesh,2017,46.639053780981385,c
Madhya Pradesh,2018,45.19721288185938,c
Madhya Pradesh,2019,51.16217784123613,c
Madhya Pradesh,2020,51.04970950833649,c
Rajasthan,2016,49.25926537657437,d
Rajasthan,2017,47.65057561903155,d
Rajasthan,2018,46.716680658038314,d
Rajasthan,2019,54.438732578341124,d
Rajasthan,2020,54.01077468467328,d
Sikkim,2016,36.323871478462316,b
Sikkim,2017,37.97165319070173,b
Sikkim,2018,39.76187853621101,b
Sikkim,2019,37.08097768587466,b
Sikkim,2020,40.33085974168254,b
