objectid_color,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,llpp_who5_1998,llpp_who5_1999,llpp_who5_2000,llpp_who5_2001,llpp_who5_2002,llpp_who5_2003,llpp_who5_2004,llpp_who5_2005,llpp_who5_2006,llpp_who5_2007,llpp_who5_2008,llpp_who5_2009,llpp_who5_2010,llpp_who5_2011,llpp_who5_2012,llpp_who5_2013,llpp_who5_2014,llpp_who5_2015,llpp_who5_2016,llpp_who5_2017,llpp_who5_2018,llpp_who5_2019,llpp_who5_2020,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,dir_rel_to_toc
16958,IND,India,Andaman and Nicobar,Nicobar Islands,37143,5,40,7.2399998,7.5700002,8.7200003,8.4099998,8.5299997,10.13,11.8,9.2299995,11.36,11.86,11.89,11.15,12.95,10.63,12.29,12.75,12.49,11.2,12.34,9.5699997,10.35,12.64,12.430124,0.22,0.25,0.37,0.33000001,0.34999999,0.5,0.67000002,0.41,0.62,0.67000002,0.68000001,0.60000002,0.77999997,0.55000001,0.70999998,0.75999999,0.73000002,0.61000001,0.72000003,0.44999999,0.51999998,0.75,0.72815216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthTOC
16959,IND,India,Andaman and Nicobar,North and Middle Andaman,107802,5,40,15.59,15.2,15.88,16.459999,18.870001,17.959999,19.629999,18.639999,21.01,19.6,20.35,22.08,21.49,20.889999,21.51,21.41,25.790001,20.59,21.290001,17.709999,20.5,20.6,21.528074,1.04,1,1.0700001,1.12,1.36,1.27,1.4299999,1.34,1.5700001,1.4299999,1.5,1.67,1.62,1.5599999,1.62,1.61,2.04,1.53,1.6,1.25,1.52,1.53,1.6197513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthTOC
16960,IND,India,Andaman and Nicobar,South Andaman,240117,5,40,12.99,12.6,14.12,15.09,17.120001,17.09,19.110001,16.77,20.26,18.440001,19.99,21.030001,20.360001,20.450001,21.52,20.440001,23.83,19.549999,21.99,18.219999,20.59,20.860001,21.41419,0.77999997,0.74000001,0.88999999,0.99000001,1.1900001,1.1900001,1.38,1.15,1.5,1.3200001,1.47,1.5700001,1.51,1.51,1.62,1.51,1.85,1.4299999,1.67,1.3,1.53,1.55,1.6085907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthTOC
16961,IND,India,Andhra Pradesh,Anantapur,4247937,5,40,17.809999,18.360001,17.9,20.889999,22.5,23.34,24.200001,28.280001,26.719999,28.67,27.25,29.58,30.040001,28.52,26.98,27.200001,29.82,27.059999,26.85,29.969999,29.629999,27.09,29.495592,1.25,1.3099999,1.26,1.5599999,1.71,1.8,1.88,2.28,2.1300001,2.3199999,2.1800001,2.4100001,2.45,2.3,2.1500001,2.1800001,2.4300001,2.1600001,2.1400001,2.45,2.4100001,2.1600001,2.400568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthTOC
16962,IND,India,Andhra Pradesh,Chittoor,4338421,5,40,14.2,15.35,15.52,19.290001,19.24,20.450001,21.49,24.4,21.77,24.5,23.620001,25.190001,25.18,25.07,24.01,23.559999,24.73,22.360001,24.379999,25.99,25,22.110001,23.21162,0.89999998,1.01,1.03,1.4,1.4,1.51,1.62,1.9,1.64,1.91,1.8200001,1.98,1.98,1.97,1.86,1.8200001,1.9299999,1.7,1.9,2.0599999,1.96,1.6799999,1.7847388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthTOC
16963,IND,India,Andhra Pradesh,East Godavari,5570653,5,40,16.52,19.459999,20.92,21.719999,22.6,23.27,25.17,26.59,29.24,29.950001,32.200001,32.560001,29.01,31.08,29.75,30.02,35.549999,30.309999,30.68,33.299999,32,30.27,31.047583,1.13,1.42,1.5599999,1.64,1.72,1.79,1.98,2.1199999,2.3800001,2.4400001,2.6700001,2.7,2.3499999,2.5599999,2.4300001,2.45,2.99,2.48,2.52,2.77,2.6500001,2.48,2.5526631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthTOC
16964,IND,India,Andhra Pradesh,Guntur,4957362,5,40,17.110001,19.01,21.07,22.559999,22.75,23.34,23.709999,26.75,27.83,29.049999,29.41,31.58,30.030001,30.07,27.940001,29.280001,33.009998,27.99,28.32,31.09,30.139999,29.01,29.82136,1.1900001,1.37,1.5700001,1.72,1.74,1.8,1.83,2.1300001,2.24,2.3599999,2.3900001,2.6099999,2.45,2.46,2.25,2.3800001,2.74,2.25,2.28,2.5599999,2.46,2.3499999,2.4324932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthTOC
16965,IND,India,Andhra Pradesh,Krishna,4662238,5,40,17.309999,19.209999,20.83,21.98,22.459999,23.370001,23.9,26.32,28.26,29.33,30.23,31.790001,29.719999,30.84,28.1,29.440001,33.990002,28.73,28.889999,31.15,30.700001,29.049999,30.301487,1.21,1.39,1.55,1.66,1.71,1.8,1.85,2.0899999,2.28,2.3800001,2.47,2.6300001,2.4200001,2.53,2.26,2.4000001,2.8399999,2.3299999,2.3399999,2.5599999,2.52,2.3599999,2.4795458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthTOC
16966,IND,India,Andhra Pradesh,Kurnool,4218285,5,40,16.84,18.940001,19.02,21.469999,22.700001,22.860001,22.370001,26.370001,27.02,27.9,26.790001,29.07,29.85,27.959999,25.790001,26.26,29.879999,26.190001,26.65,29.030001,28.93,26.23,28.722071,1.16,1.37,1.37,1.61,1.73,1.75,1.7,2.0899999,2.1600001,2.24,2.1400001,2.3599999,2.4400001,2.25,2.04,2.0799999,2.4400001,2.0799999,2.1199999,2.3599999,2.3499999,2.0799999,2.3247628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthTOC
16967,IND,India,Andhra Pradesh,Nellore,3102921,5,40,17.280001,19.48,19.860001,21.15,19.879999,20.940001,21.66,25.209999,23.18,25.82,25.59,26.530001,25.18,24.32,23.5,24.68,26.950001,22.77,26.25,27.77,26.200001,25.09,24.729671,1.2,1.42,1.46,1.58,1.46,1.5599999,1.63,1.98,1.78,2.04,2.02,2.1099999,1.98,1.89,1.8099999,1.9299999,2.1500001,1.74,2.0799999,2.23,2.0799999,1.97,1.9335078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthTOC
