iso_alpha3,country,state,district,region_type,population,whostandard,natstandard,pm2.5_2020,lyl_rel_to_who_2020,lyl_rel_to_nat_stan_2020,lml_rel_to_who_2020,lml_rel_to_nat_stan_2020,ldl_rel_to_who_stan_2020,ldl_rel_to_nat_stan_2020
IND,India,Ladakh,Leh (Ladakh),Predominantly Rural,161241,5,40,5.6375737,0.1170333,0,1.4,0,42.72,0
IND,India,Arunachal Pradesh,Dibang Valley,Predominantly Rural,10359,5,40,7.9421563,0.28840891,0,3.46,0,105.27,0
IND,India,Arunachal Pradesh,Upper Siang,Predominantly Rural,40953,5,40,9.3362608,0.42495358,0,5.1,0,155.11,0
IND,India,Arunachal Pradesh,Anjaw,Predominantly Rural,23867,5,40,10.072217,0.49707726,0,5.96,0,181.43,0
IND,India,Arunachal Pradesh,Lower Dibang Valley,Predominantly Rural,60086,5,40,10.144035,0.50411546,0,6.05,0,184,0
IND,India,Tamil Nadu,The Nilgiris,Predominantly Urban,772027,5,40,10.472665,0.53632116,0,6.44,0,195.76,0
IND,India,Arunachal Pradesh,Lohit,Predominantly Rural,76360,5,40,11.62841,0.64958423,0,7.8,0,237.1,0
IND,India,Arunachal Pradesh,East Siang,Predominantly Rural,108476,5,40,11.830828,0.66942114,0,8.03,0,244.34,0
IND,India,Kerala,Wayanad,Predominantly Rural,812784,5,40,11.859867,0.6722669,0,8.07,0,245.38,0
IND,India,Ladakh,Kargil,Predominantly Rural,146997,5,40,12.270621,0.71252084,0,8.55,0,260.07,0
IND,India,Andaman and Nicobar,Nicobars,Predominantly Rural,37143,5,40,12.430124,0.72815216,0,8.74,0,265.78,0
IND,India,Arunachal Pradesh,West Siang,Predominantly Rural,123273,5,40,12.631765,0.747913,0,8.97,0,272.99,0
IND,India,Arunachal Pradesh,Kurung Kumey,Predominantly Rural,75237,5,40,12.701174,0.75471503,0,9.06,0,275.47,0
IND,India,Arunachal Pradesh,Upper Subansiri,Predominantly Rural,94862,5,40,12.726643,0.75721103,0,9.09,0,276.38,0
IND,India,Karnataka,Kodagu,Predominantly Rural,579522,5,40,12.913102,0.77548403,0,9.31,0,283.05,0
IND,India,Kerala,Idukki,Predominantly Rural,1110554,5,40,13.091758,0.79299223,0,9.52,0,289.44,0
IND,India,Arunachal Pradesh,Lower Subansiri,Predominantly Rural,126680,5,40,13.541197,0.83703727000000006,0,10.04,0,305.52,0
IND,India,Arunachal Pradesh,Tawang,Predominantly Rural,55930,5,40,14.129418,0.89468306,0,10.74,0,326.56,0
IND,India,Kerala,Kasaragod,Predominantly Rural,1289009,5,40,14.538755,0.93479806,0,11.22,0,341.2,0
IND,India,Kerala,Palakkad,Predominantly Rural,2928889,5,40,14.576653,0.93851191,0,11.26,0,342.56,0
IND,India,Puducherry,Mahe,Predominantly Urban,173274,5,40,14.919459,0.97210705,0,11.67,0,354.82,0
