objectid_color,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,dir_rel_to_toc,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,llpp_who5_1998,llpp_who5_1999,llpp_who5_2000,llpp_who5_2001,llpp_who5_2002,llpp_who5_2003,llpp_who5_2004,llpp_who5_2005,llpp_who5_2006,llpp_who5_2007,llpp_who5_2008,llpp_who5_2009,llpp_who5_2010,llpp_who5_2011,llpp_who5_2012,llpp_who5_2013,llpp_who5_2014,llpp_who5_2015,llpp_who5_2016,llpp_who5_2017,llpp_who5_2018,llpp_who5_2019,llpp_who5_2020,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020
17058,IND,India,Chhattisgarh,Balod,697561,5,40,SouthTOC,36.32,36.950001,35.43,42.889999,41.299999,46.73,47.41,49.41,49.799999,53.740002,53.75,51.580002,52.16,56.43,49.52,56.580002,55.369999,57.240002,57.990002,54.27,55.299999,57.060001,63.092007,3.0699999,3.1300001,2.98,3.71,3.5599999,4.0900002,4.1599998,4.3499999,4.3899999,4.7800002,4.7800002,4.5599999,4.6199999,5.04,4.3600001,5.0599999,4.9400001,5.1199999,5.1900001,4.8299999,4.9299998,5.0999999,5.6930165,0.059999999,0.07,0.039999999,0.36000001,0.25,0.67000002,0.73000002,0.92000002,0.95999998,1.35,1.35,1.13,1.1900001,1.61,0.93000001,1.63,1.51,1.6900001,1.76,1.4,1.5,1.67,2.2630167
17059,IND,India,Chhattisgarh,Baloda Bazar,1421663,5,40,SouthTOC,44.91,45.52,40.889999,48.450001,47.43,49.490002,53.290001,51.43,53.950001,58.09,61.57,60.77,57.790001,64.290001,57.450001,62.060001,62.720001,61.07,64.309998,63.290001,64.830002,66.160004,73.219093,3.9100001,3.97,3.52,4.2600002,4.1599998,4.3600001,4.73,4.5500002,4.8000002,5.1999998,5.54,5.46,5.1700001,5.8099999,5.1399999,5.5900002,5.6599998,5.5,5.8099999,5.71,5.8600001,5.9899998,6.6854711,0.50999999,0.58999997,0.25,0.83999997,0.73000002,0.93000001,1.3,1.12,1.37,1.77,2.1099999,2.03,1.74,2.3800001,1.71,2.1600001,2.23,2.0699999,2.3800001,2.28,2.4300001,2.5599999,3.255471
17060,IND,India,Chhattisgarh,Balrampur,913939,5,40,NorthTOC,20.610001,22.42,22.780001,29,28.969999,31.24,31.639999,29.889999,31.77,36.209999,38.919998,37.279999,35.439999,42.07,37.759998,41.599998,38.959999,37.950001,39.959999,36.779999,34.639999,41.049999,41.051884,1.53,1.71,1.74,2.3499999,2.3499999,2.5699999,2.6099999,2.4400001,2.6199999,3.0599999,3.3199999,3.1600001,2.98,3.6300001,3.21,3.5899999,3.3299999,3.23,3.4300001,3.1099999,2.9100001,3.53,3.5330849,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0.25,0.0099999998,0.25999999,0.079999998,0.0099999998,0.16,0,0,0.20999999,0.2246349
17061,IND,India,Chhattisgarh,Bastar,1049655,5,40,SouthTOC,25.110001,24.209999,24.5,30.49,29.209999,32.580002,32.790001,34.330002,33.630001,35.860001,37.119999,35.029999,34.700001,38.32,33.610001,38.18,36.419998,39.82,37.23,35.73,36.759998,35.119999,40.723637,1.97,1.88,1.91,2.5,2.3699999,2.7,2.72,2.8699999,2.8099999,3.02,3.1500001,2.9400001,2.9100001,3.26,2.8,3.25,3.0799999,3.4100001,3.1600001,3.01,3.1099999,2.95,3.5009162,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0.059999999,0,0.07,0,0.15000001,0.0099999998,0,0,0,0.2261786
17062,IND,India,Chhattisgarh,Bemetara,818982,5,40,SouthTOC,42,44,41.970001,49.290001,49.869999,50,52.740002,50.189999,54.849998,59.419998,60.41,61.950001,59.619999,65.18,59.41,63.02,63.209999,63.189999,65.68,67.93,67.879997,71.919998,78.242859,3.6300001,3.8199999,3.6199999,4.3400002,4.4000001,4.4099998,4.6799998,4.4299998,4.8899999,5.3299999,5.4299998,5.5799999,5.3499999,5.9000001,5.3299999,5.6900001,5.6999998,5.6999998,5.9499998,6.1700001,6.1599998,6.5599999,7.1778002,0.25,0.41999999,0.20999999,0.91000003,0.97000003,0.98000002,1.25,1,1.46,1.9,2,2.1500001,1.92,2.47,1.9,2.26,2.27,2.27,2.52,2.74,2.73,3.1300001,3.7478001
17063,IND,India,Chhattisgarh,Bijapur,288979,5,40,SouthTOC,16.860001,19.59,20.52,24.23,23.23,25.780001,26.299999,27.5,27.370001,30.549999,30.02,30.35,29.15,31.780001,28.93,31.01,31.42,31.139999,31.559999,30.219999,31.65,30.280001,33.887917,1.16,1.4299999,1.52,1.88,1.79,2.04,2.0899999,2.2,2.1900001,2.5,2.45,2.48,2.3699999,2.6199999,2.3399999,2.55,2.5899999,2.5599999,2.5999999,2.47,2.6099999,2.48,2.8310158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17064,IND,India,Chhattisgarh,Bilaspur,2165303,5,40,SouthTOC,36.59,36.919998,35.709999,41.509998,42.470001,43.130001,46.389999,45.07,46.59,51.560001,54.93,55.02,50.610001,57.360001,51.970001,58.830002,56.759998,55.950001,57.610001,57.689999,56.650002,60.009998,62.987354,3.0999999,3.1300001,3.01,3.5799999,3.6700001,3.74,4.0599999,3.9300001,4.0799999,4.5599999,4.8899999,4.9000001,4.4699998,5.1300001,4.5999999,5.2800002,5.0700002,4.9899998,5.1599998,5.1599998,5.0599999,5.3899999,5.6827607,0.13,0.14,0.050000001,0.37,0.44999999,0.43000001,0.73000002,0.62,0.74000001,1.14,1.47,1.48,1.0700001,1.7,1.2,1.85,1.64,1.5599999,1.73,1.74,1.63,1.96,2.2549367
17065,IND,India,Chhattisgarh,Dantewada,240742,5,40,SouthTOC,16.75,18.700001,19.049999,24.129999,22.43,25.33,25.6,27.559999,27.58,29.5,29.440001,29.15,28.719999,31.51,27.860001,30.709999,30.73,31.780001,30.76,29.83,31.1,29.23,32.833385,1.15,1.34,1.38,1.88,1.71,1.99,2.02,2.21,2.21,2.4000001,2.4000001,2.3699999,2.3199999,2.5999999,2.24,2.52,2.52,2.6199999,2.52,2.4300001,2.5599999,2.3699999,2.7276716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17066,IND,India,Chhattisgarh,Dhamtari,898891,5,40,SouthTOC,40.639999,40.599998,39.419998,47.41,45.169998,48.459999,50.369999,52.139999,52.830002,55.669998,55.900002,54.439999,55.279999,58.939999,51.93,59.98,57.650002,60.060001,61.419998,56.650002,57.509998,57.549999,66.853249,3.49,3.49,3.3699999,4.1599998,3.9400001,4.2600002,4.4499998,4.6199999,4.6900001,4.9699998,4.9899998,4.8499999,4.9299998,5.29,4.5999999,5.3899999,5.1599998,5.4000001,5.5300002,5.0599999,5.1500001,5.1500001,6.0616183,0.28999999,0.31,0.25,0.74000001,0.56,0.82999998,1.02,1.1900001,1.26,1.54,1.5599999,1.42,1.5,1.86,1.17,1.96,1.73,1.97,2.0999999,1.63,1.72,1.72,2.6316183
17067,IND,India,Chhattisgarh,Durg,2218874,5,40,SouthTOC,50.91,52.939999,49.290001,57.25,55.599998,57.68,59.389999,61.220001,62.970001,68.650002,69.870003,66.440002,69.110001,74.349998,67.870003,73.419998,70.93,70.919998,73.300003,68.860001,71.559998,75.379997,80.220734,4.5,4.6999998,4.3400002,5.1199999,4.96,5.1599998,5.3299999,5.5100002,5.6799998,6.2399998,6.3600001,6.02,6.2800002,6.8000002,6.1599998,6.71,6.46,6.46,6.6900001,6.2600002,6.52,6.9000001,7.3716321,1.0700001,1.27,0.91000003,1.6900001,1.53,1.73,1.9,2.0799999,2.25,2.8099999,2.9300001,2.5899999,2.8499999,3.3699999,2.73,3.28,3.03,3.03,3.26,2.8299999,3.0899999,3.47,3.941632
17068,IND,India,Chhattisgarh,Gariaband,583734,5,40,SouthTOC,31.620001,31.299999,29.969999,38.330002,37.93,40.099998,41.150002,41.459999,42.630001,45.02,46.459999,44.740002,45.540001,48.32,42.630001,48.380001,45.549999,50.029999,47.27,45.080002,45.959999,45.040001,52.676514,2.6099999,2.5799999,2.45,3.27,3.23,3.4400001,3.54,3.5699999,3.6900001,3.9200001,4.0599999,3.8900001,3.97,4.25,3.6900001,4.25,3.97,4.4099998,4.1399999,3.9300001,4.0100002,3.9200001,4.6722984,0,0,0,0.11,0.090000004,0.20999999,0.33000001,0.31,0.41999999,0.58999997,0.72000003,0.56999999,0.61000001,0.83999997,0.38999999,0.82999998,0.57999998,0.99000001,0.74000001,0.54000002,0.60000002,0.56,1.2477261
17069,IND,India,Chhattisgarh,Janjgir-Champa,1818577,5,40,SouthTOC,40.5,40.139999,37.43,42.880001,43.439999,42.860001,48.189999,47.23,47.939999,52.700001,56.98,58.18,53.509998,61.279999,54.470001,62.009998,62,58.439999,62.389999,60.52,60.09,61.700001,68.343773,3.48,3.4400001,3.1800001,3.71,3.77,3.71,4.23,4.1399999,4.21,4.6700001,5.0900002,5.21,4.75,5.52,4.8499999,5.5900002,5.5900002,5.2399998,5.6199999,5.4400001,5.4000001,5.5599999,6.2076898,0.13,0.11,0.0099999998,0.31,0.34999999,0.30000001,0.80000001,0.70999998,0.77999997,1.24,1.66,1.78,1.3200001,2.0899999,1.42,2.1600001,2.1600001,1.8099999,2.1900001,2.01,1.97,2.1300001,2.7776899
17070,IND,India,Chhattisgarh,Jashpur,948075,5,40,SouthTOC,21.99,23.02,23.17,29.870001,30.02,32.27,32.240002,31.35,32.709999,37.029999,39,38.34,35.740002,44.59,38.080002,43.759998,39.990002,39.91,40.700001,37.889999,36.84,40.970001,43.390518,1.67,1.77,1.78,2.4400001,2.45,2.6700001,2.6700001,2.5799999,2.72,3.1400001,3.3299999,3.27,3.01,3.8800001,3.24,3.8,3.4300001,3.4200001,3.5,3.22,3.1199999,3.53,3.7622709,0,0,0,0,0,0,0,0,0,0.039999999,0.13,0.11,0.0099999998,0.50999999,0.07,0.47,0.2,0.18000001,0.23999999,0.1,0.050000001,0.23999999,0.47028449
17071,IND,India,Chhattisgarh,Kabirdham,888936,5,40,SouthTOC,31.91,33.139999,33.720001,39.349998,40.900002,42.330002,44.419998,41.810001,45.869999,50.200001,50.610001,51.259998,47.93,54.540001,47.459999,52.130001,52.630001,54.91,54.740002,57.52,57.139999,61.150002,62.700554,2.6400001,2.76,2.8099999,3.3699999,3.52,3.6600001,3.8599999,3.6099999,4.0100002,4.4299998,4.4699998,4.5300002,4.21,4.8499999,4.1599998,4.6199999,4.6700001,4.8899999,4.8699999,5.1500001,5.1100001,5.5,5.654654,0,0,0,0.11,0.2,0.30000001,0.47999999,0.25,0.60000002,1,1.04,1.11,0.79000002,1.4299999,0.75999999,1.1900001,1.24,1.46,1.45,1.72,1.6799999,2.0699999,2.2258272
17072,IND,India,Chhattisgarh,Kondagaon,564808,5,40,SouthTOC,26.139999,25.24,25.33,31.65,30.870001,34.240002,34.91,35.68,35.860001,38.189999,38.490002,36.779999,37.84,39.689999,35.060001,39.150002,36.68,41.380001,38.57,37.18,37.889999,36.02,42.277695,2.0699999,1.98,1.99,2.6099999,2.54,2.8699999,2.9300001,3.01,3.02,3.25,3.28,3.1099999,3.22,3.4000001,2.95,3.3499999,3.0999999,3.5699999,3.29,3.1500001,3.22,3.04,3.653214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0.0099999998,0,0.15000001,0.0099999998,0,0,0,0.23763327
17073,IND,India,Chhattisgarh,Korba,1352939,5,40,SouthTOC,32.959999,33.02,32.419998,37.619999,37.200001,36.759998,39.720001,39.25,41.040001,45.25,48.189999,49.029999,45.09,51.68,46.439999,52.880001,51.240002,49.950001,49.869999,50.439999,48.759998,51,52.806633,2.74,2.75,2.6900001,3.2,3.1600001,3.1099999,3.4000001,3.3599999,3.53,3.9400001,4.23,4.3200002,3.9300001,4.5799999,4.0599999,4.6900001,4.5300002,4.4000001,4.4000001,4.4499998,4.29,4.5100002,4.68505,0,0,0,0.02,0.0099999998,0,0.090000004,0.079999998,0.18000001,0.51999998,0.80000001,0.88999999,0.51999998,1.15,0.63999999,1.26,1.1,0.97000003,0.97000003,1.02,0.86000001,1.08,1.255205
17074,IND,India,Chhattisgarh,Koriya,729296,5,40,NorthTOC,23.6,24.16,23.92,29.67,29.309999,33.029999,33.16,32.52,33.599998,38.119999,41.18,39.66,37,43.32,38.98,43.700001,40.830002,40.650002,40.560001,40.689999,37.34,42.549999,41.666088,1.8200001,1.88,1.85,2.4200001,2.3800001,2.75,2.76,2.7,2.8,3.25,3.55,3.4000001,3.1400001,3.76,3.3299999,3.79,3.51,3.49,3.49,3.5,3.1700001,3.6800001,3.5932765,0,0,0,0,0,0,0,0,0,0.029999999,0.20999999,0.11,0,0.37,0.079999998,0.41999999,0.2,0.18000001,0.17,0.17,0.0099999998,0.28999999,0.25529891
