years,region,pop_weighted_avg_pm2.5
1998,central african,28.40843024184557
1999,central african,22.97042373857692
2000,central african,27.8038532447428
2001,central african,30.633617249263235
2002,central african,29.51884240857809
2003,central african,27.7051320182649
2004,central african,29.91775122823902
2005,central african,29.953529615833673
2006,central african,25.95563005336152
2007,central african,29.52458722326256
2008,central african,30.65330041304908
2009,central african,29.33436881713761
2010,central african,32.019375029873466
2011,central african,30.67319386349125
2012,central african,31.235181423916437
2013,central african,32.38743977645778
2014,central african,28.81916599114172
2015,central african,30.56593755183213
2016,central african,29.780450750005073
2017,central african,26.717584542124794
2018,central african,27.77648796894823
2019,central african,29.25029987347702
2020,central african,28.972345404450774
1998,west african,15.923108702447875
1999,west african,14.258243354797225
2000,west african,15.855395418879414
2001,west african,16.245313276671737
2002,west african,15.897816999884759
2003,west african,16.375155044546805
2004,west african,17.061575771260916
2005,west african,17.180660978954908
2006,west african,16.326894692339415
2007,west african,16.71725915101014
2008,west african,17.914930656375347
2009,west african,17.39914888984942
2010,west african,18.028983057584323
2011,west african,16.922195154554394
2012,west african,16.44694876381728
2013,west african,15.414969833242653
2014,west african,15.549001572503183
2015,west african,15.591486276098532
2016,west african,17.0370607489454
2017,west african,16.985420288830984
2018,west african,17.218343832187376
2019,west african,17.016922152646917
2020,west african,17.245870849332082
