Province-level division,Municipal-level division,Population (Millions),PM 2.5 concentration 2020 (µg/m³),From 2020 Concentration to WHO Guideline of 5 µg/m³,From 2020 Concentration to the National Standard of 25 µg/m³
Daegu,Buk,1.4,19.1,1.4,0
Gyeonggi-do,Suwon,1.1,23.6,1.8,0
Gyeonggi-do,Hwaseong,1.1,24.2,1.9,0
Gyeonggi-do,Goyang,0.9,22.6,1.7,0
Gyeonggi-do,Seongnam,0.9,20.9,1.6,0
Gyeonggi-do,Anyang,0.9,22.7,1.7,0
Gyeonggi-do,Yongin,0.9,22.4,1.7,0
Seoul,Gangseo,0.7,24,1.9,0
Gwangju,Gwangsan,0.7,18.5,1.3,0
Jeollabuk-do,Jeonju,0.7,19.8,1.5,0
Gyeonggi-do,Pyeongtaek,0.6,24.9,2,-0
Incheon,Gyeyang,0.6,24.8,1.9,-0
Gyeonggi-do,Namyangju,0.6,19,1.4,0
Incheon,Seo,0.6,23.4,1.8,0
Gwangju,Buk,0.6,17.6,1.2,0
Chungcheongnam-do,Cheonan,0.6,20.6,1.5,0
Chungcheongbuk-do,Cheongju,0.6,20.3,1.5,0
Gyeongsangnam-do,Gimhae,0.6,18.4,1.3,0
Gyeonggi-do,Yangju,0.6,19.4,1.4,0
Gyeonggi-do,Guri,0.6,20,1.5,0
Seoul,Seongbuk,0.5,20.7,1.5,0
Seoul,Yeongdeungpo,0.5,23.4,1.8,0
Seoul,Nowon,0.5,19.5,1.4,0
Gyeonggi-do,Paju,0.5,21.7,1.6,0
Gyeongsangbuk-do,Pohang,0.5,17.3,1.2,0
