location,objectid_hover,country,name_1,name_2,population,pm25_1970_aqli,pm2020,pm1998,llpp_who5_2020,lifeyears_saved,total_pop,total_lifeyears,total_pop_lifeyears,avg_lifeyears,avgpollution1970,avgpollution1998,avgpollution2020,percentchange19702020,propofchange19982020
01055,8135,United States,Alabama,Etowah,100773,29.554123,6.6192689,16.940001,.15868837,2.2476156,157807936,226498.97,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
01073,8144,United States,Alabama,Jefferson,694353,36.507149,7.2562914,17.610001,.22111654,2.8665841,157807936,1990421.3,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
01089,8152,United States,Alabama,Madison,391577,26.534132,6.8003659,15.46,.17643584,1.9339091,157807936,757274.31,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
01097,8156,United States,Alabama,Mobile,419398,50.781506,7.0481796,12.8,.20072159,4.2858658,157807936,1797483.5,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
01101,8158,United States,Alabama,Montgomery,248268,35.376545,6.839107,16.690001,.18023248,2.796669,157807936,694323.44,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
01103,8159,United States,Alabama,Morgan,116637,45.364769,6.6400447,16.040001,.16072439,3.795023,157807936,442640.09,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
02020,8177,United States,Alaska,Anchorage,295467,7.7306623,2.3722155,2.6199999,0,.52512777,157807936,155157.92,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
04013,8208,United States,Arizona,Maricopa,4470998,16.692659,7.8012204,8.609999699999999,.2746262,.87136102,157807936,3895853.3,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
04019,8211,United States,Arizona,Pima,1008044,9.1918697,5.1787462,6.6900001,.034858122,.39328611,157807936,396449.69,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06001,8291,United States,California,Alameda,1708400,17.421394,8.495462399999999,6.5100002,.34255534,.87474132,157807936,1494408.1,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06013,8297,United States,California,Contra Costa,1077663,10.198822,8.838345500000001,7.5100002,.37615785,.13332669,157807936,143681.25,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06019,8300,United States,California,Fresno,1012333,17.024677,17.13718,13.06,1.1894436,-.011025267,157807936,-11161.241,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06023,8302,United States,California,Humboldt,132836,9.413352,9.571146000000001,3.72,.44797236,-.01546381,157807936,-2054.1506,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06029,8305,United States,California,Kern,898126,35.152924,15.197754,13.75,.99937993,1.9556066,157807936,1756381.1,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06037,8309,United States,California,Los Angeles,10103568,26.009079,12.263866,12.8,.71185893,1.3470309,157807936,13609818,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06041,8311,United States,California,Marin,253913,9.9532509,7.8398008,5.9899998,.27830046,.20711811,157807936,52589.98,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06053,8317,United States,California,Monterey,439052,9.7111092,8.532532700000001,4.4000001,.34618816,.11550049,157807936,50710.723,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06055,8318,United States,California,Napa,141606,15.517985,10.001428,6.5799999,.49013993,.54062259,157807936,76555.406,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06059,8320,United States,California,Orange,3296369,24.42646,10.870634,11.6,.57532215,1.3284709,157807936,4379130.5,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06065,8323,United States,California,Riverside,2346381,21.346478,9.650471700000001,12.14,.4562909,1.1462085,157807936,2689442,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06067,8324,United States,California,Sacramento,1569178,18.41077,11.58325,10.23,.64515847,.66909701,157807936,1049932.3,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06071,8326,United States,California,San Bernardino,2127845,18.491684,11.36256,13.79,.62365699,.69865417,157807936,1486627.8,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06073,8327,United States,California,San Diego,3449869,12.462543,9.0178175,9.1899996,.39374614,.33758307,157807936,1164617.4,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06075,8328,United States,California,San Francisco,1014950,11.364135,8.139066700000001,5.6599998,.30762857,.31605667,157807936,320781.72,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06077,8329,United States,California,San Joaquin,748030,20.281387,10.079434,10.78,.49778458,.99979144,157807936,747874,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06079,8330,United States,California,San Luis Obispo,282970,5.4401536,7.1742115,4.4400001,.21307272,-.16993767,157807936,-48087.262,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06081,8331,United States,California,San Mateo,760670,8.6816339,7.4198952,5.0799999,.23714972,.12365039,157807936,94057.148,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06083,8332,United States,California,Santa Barbara,462023,9.4680681,7.0861359,5.5700002,.20444129,.23342936,157807936,107849.73,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06085,8333,United States,California,Santa Clara,2023719,14.368531,9.083196600000001,6.3499999,.40015328,.51796281,157807936,1048211.2,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06101,8341,United States,California,Sutter,92084,13.722583,14.219326,9.279999699999999,.9034939400000001,-.048680831,157807936,-4482.7256,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06107,8344,United States,California,Tulare,466861,21.599062,15.478135,13.8,1.0268573,.59985083,157807936,280046.97,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
06111,8346,United States,California,Ventura,827296,12.30023,8.5218782,8.1800003,.34514403,.37027848,157807936,306329.91,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08001,8349,United States,Colorado,Adams,494767,8.0217333,7.9766088,7,.29170766,.0044221994,157807936,2187.9583,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08005,8351,United States,Colorado,Arapahoe,653771,17.9484,6.8807831,6.1700001,.18431674,1.0846266,157807936,709097.38,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08013,8355,United States,Colorado,Boulder,337113,14.600918,7.8166394,6.5,.27603066,.66485929,157807936,224132.72,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08031,8365,United States,Colorado,Denver,811528,14.620053,7.7080407,7.2600002,.26538801,.67737722,157807936,549710.56,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08041,8369,United States,Colorado,El Paso,704162,8.6063852,5.2867889,5.0500002,.029126804,.32532045,157807936,229078.3,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08069,8384,United States,Colorado,Larimer,347517,13.749434,9.068329800000001,5.8699999,.3986963,.45874816,157807936,159422.78,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08077,8388,United States,Colorado,Mesa,152190,24.882511,5.5099945,4.7199998,.050566491,1.8985066,157807936,288933.72,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08083,8391,United States,Colorado,Montezuma,25053,12.263072,3.9140103,3.73,0,.81820804,157807936,20498.566,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08101,8400,United States,Colorado,Pueblo,168640,19.507629,5.8461509,6.7600002,.082995497,1.3388249,157807936,225779.42,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08107,8403,United States,Colorado,Routt,24982,4.33775,6.546021,4.02,.15152496,-.21641056,157807936,-5406.3687,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
08123,8411,United States,Colorado,Weld,304099,12.732434,8.3008881,6.1199999,.32348707,.43429151,157807936,132067.61,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
09001,8413,United States,Connecticut,Fairfield,942252,18.860527,6.1057477,12.69,.10836329,1.2499684,157807936,1177785.3,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
09003,8414,United States,Connecticut,Hartford,946654,22.688307,6.4967098,11.62,.14667757,1.5867765,157807936,1502128.4,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
09009,8417,United States,Connecticut,New Haven,837288,14.60017,6.580318,12.3,.15487115,.78594553,157807936,658062.75,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
10003,8422,United States,Delaware,New Castle,579093,35.718937,6.9826694,15.24,.19430162,2.8161542,157807936,1630815.3,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
11001,8424,United States,District of Columbia,District of Columbia,932982,38.380928,6.3651314,14.94,.13378291,3.137548,157807936,2927275.8,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
12011,8430,United States,Florida,Broward,1881040,13.484504,4.4938011,8.8400002,0,.88108885,157807936,1657363.4,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
12031,8439,United States,Florida,Duval,1009703,18.047131,6.0776219,12.85,.10560693,1.1730119,157807936,1184393.6,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
12057,8452,United States,Florida,Hillsborough,1517716,12.977119,6.7654839,11.88,.17301744,.60874027,157807936,923894.88,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
12086,8467,United States,Florida,Miami-Dade,2704600,6.6431441,4.1891575,8.300000199999999,0,.24049069,157807936,650431.13,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
15003,8652,United States,Hawaii,Honolulu,997321,3.7835553,1.5321296,1.6799999,0,.22063972,157807936,220048.63,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
16001,8656,United States,Idaho,Ada,490739,17.802036,8.7393894,6.3899999,.36646017,.88813937,157807936,435844.63,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
16005,8658,United States,Idaho,Bannock,85698,13.64277,6.3018498,5.7399998,.12758127,.71941018,157807936,61652.016,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
16055,8683,United States,Idaho,Kootenai,158822,16.774515,6.3921924,6.1399999,.13643487,1.0174676,157807936,161596.23,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
16069,8690,United States,Idaho,Nez Perce,41500,22.429699,6.0543399,4.6300001,.10333072,1.6047852,157807936,66598.586,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
16079,8695,United States,Idaho,Shoshone,12654,15.306998,5.0590329,5.1599998,.011360533,1.0043006,157807936,12708.42,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
16083,8697,United States,Idaho,Twin Falls,87171,7.4932923,6.0230651,3.98,.10029038,.14408226,157807936,12559.795,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
17031,8715,United States,Illinois,Cook,5371710,25.521692,8.4667253,17.790001,.33973905,1.6713867,157807936,8978205,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
17089,8744,United States,Illinois,Kane,513342,28.649097,8.2806902,16.16,.32150769,1.9961039,157807936,1024683.9,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
17115,8754,United States,Illinois,Macon,107786,14.762654,7.4738388,15.52,.24243622,.71430391,157807936,76991.961,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
17119,8756,United States,Illinois,Madison,257732,27.10825,8.459991499999999,16.950001,.33907911,1.8275293,157807936,471012.78,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
17143,8771,United States,Illinois,Peoria,196050,28.963388,7.5318413,14.64,.24812044,2.1002917,157807936,411762.19,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
17163,8781,United States,Illinois,Saint Clair,249806,29.544815,8.4613152,17.549999,.33920884,2.0661831,157807936,516144.94,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
17197,8798,United States,Illinois,Will,654475,40.132771,8.619163500000001,17.34,.354678,3.0883336,157807936,2021237.1,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
17201,8800,United States,Illinois,Winnebago,289062,14.79719,7.7273417,14.88,.26727948,.69284511,157807936,200275.19,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
18089,8846,United States,Indiana,Lake,478217,38.433701,8.4812937,17.85,.34116676,2.9353359,157807936,1403727.5,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
18097,8850,United States,Indiana,Marion,1072291,32.547951,8.884530099999999,17.450001,.38068399,2.3190153,157807936,2486659.3,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
18127,8865,United States,Indiana,Porter,162541,25.977051,7.8958488,16.559999,.28379315,1.7719578,157807936,288015.78,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
18141,8872,United States,Indiana,Saint Joseph,278475,31.110289,7.48457,15.88,.24348785,2.3153205,157807936,644758.88,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
18163,8883,United States,Indiana,Vanderburgh,196551,48.626106,7.8939028,17.5,.28360251,3.991756,157807936,784583.63,213855952,1.355166,21.50856,11.893736,7.6803346,.64291734,.30469573
