location,cause_of_death,est_le_diff_vs_actual_women,est_le_diff_vs_actual_men,est_le_diff_vs_actual_aggregate
argentina,Alcohol use,0.406,1.295,0.864908079
argentina,PM2.5 relative to WHO,0.42,0.481,0.64
argentina,Cardiovascular diseases,4.901,3.982,4.426605709
argentina,Child and maternal malnutrition,0.369,0.414,0.392229318
argentina,Conflict and terrorism,0,0,0
argentina,Dengue,0,0,0
argentina,Diabetes mellitus,0.381,0.367,0.373773101
argentina,Diarrheal diseases,0.039,0.027,0.032805515
argentina,Dietary risks,1.657,1.73,1.694683116
argentina,Drug use,0.047,0.205,0.128560716
argentina,HIV/AIDS,0.067,0.133,0.101069666
argentina,Household air pollution from solid fuels,0.028,0.022,0.024902758
argentina,Low birth weight and short gestation,0.281,0.337,0.309907596
argentina,Lower respiratory infections,1.44,1.157,1.293913401
argentina,Malaria,0,0,0
argentina,Maternal and neonatal disorders,0.054,0,0.026124819
argentina,Maternal disorders,0.054,0,0.026124819
argentina,Neonatal disorders,0.329,0.396,0.363585873
argentina,Neoplasms,3.65,3.491,3.567923077
argentina,Nutritional deficiencies,0.052,0.039,0.045289308
argentina,Road injuries,0.183,0.536,0.365221093
argentina,Smoking,1.604,2.317,1.972055636
argentina,Substance use disorders,0.01,0.069,0.040456217
argentina,Tobacco,1.869,2.56,2.225699081
argentina,"Tracheal, bronchus, and lung cancer",0.361,0.656,0.513281084
argentina,Tuberculosis,0.027,0.039,0.033194485
argentina,"Unsafe water, sanitation, and handwashing",0.052,0.04,0.045805515
brazil,Alcohol use,0.189,1.37,0.798640542
brazil,PM2.5 relative to WHO,0.407,0.424,0.485
brazil,Cardiovascular diseases,4.787,4.3,4.53560716
brazil,Child and maternal malnutrition,0.709,0.823,0.767847605
brazil,Conflict and terrorism,0,0,0
brazil,Dengue,0.006,0.006,0.006
brazil,Diabetes mellitus,0.714,0.491,0.598885825
brazil,Diarrheal diseases,0.103,0.09,0.096289308
brazil,Dietary risks,1.384,1.48,1.433555878
brazil,Drug use,0.035,0.109,0.073199323
brazil,HIV/AIDS,0.136,0.215,0.176780358
brazil,Household air pollution from solid fuels,0.156,0.123,0.138965167
brazil,Low birth weight and short gestation,0.514,0.619,0.568201742
brazil,Lower respiratory infections,0.999,0.844,0.918987905
brazil,Malaria,0.002,0.002,0.002
brazil,Maternal and neonatal disorders,0.056,0,0.027092404
brazil,Maternal disorders,0.056,0,0.027092404
brazil,Neonatal disorders,0.655,0.799,0.729333817
brazil,Neoplasms,2.679,2.69,2.684678278
brazil,Nutritional deficiencies,0.089,0.087,0.087967586
brazil,Road injuries,0.224,0.83,0.53682148
brazil,Smoking,1.276,1.899,1.597597
brazil,Substance use disorders,0.029,0.187,0.110560716
brazil,Tobacco,1.515,2.117,1.825756652
brazil,"Tracheal, bronchus, and lung cancer",0.299,0.357,0.32894001
brazil,Tuberculosis,0.035,0.074,0.055132075
brazil,"Unsafe water, sanitation, and handwashing",0.133,0.116,0.12422448
cambodia,Alcohol use,0.446,2.131,1.315808902
cambodia,PM2.5 relative to WHO,0.38,0.504,1.55
cambodia,Cardiovascular diseases,5.22,4.341,4.766253991
cambodia,Child and maternal malnutrition,1.31,1.499,1.407563135
cambodia,Conflict and terrorism,0,0,0
cambodia,Dengue,0.008,0.009,0.008516207
cambodia,Diabetes mellitus,0.515,0.364,0.437052733
cambodia,Diarrheal diseases,0.234,0.213,0.223159652
cambodia,Dietary risks,1.713,1.82,1.768234156
cambodia,Drug use,0.04,0.204,0.124657958
cambodia,HIV/AIDS,0.171,0.246,0.20971553
cambodia,Household air pollution from solid fuels,1.998,1.826,1.909212385
cambodia,Low birth weight and short gestation,0.811,0.953,0.884301403
cambodia,Lower respiratory infections,1.787,1.714,1.749316884
cambodia,Malaria,0.009,0.009,0.009
cambodia,Maternal and neonatal disorders,0.151,0,0.073052733
cambodia,Maternal disorders,0.151,0,0.073052733
cambodia,Neonatal disorders,0.816,0.902,0.860393807
cambodia,Neoplasms,1.92,1.95,1.935486212
cambodia,Nutritional deficiencies,0.072,0.061,0.066321722
cambodia,Road injuries,0.223,0.609,0.422255926
cambodia,Smoking,0.614,4.072,2.399044025
cambodia,Substance use disorders,0.007,0.039,0.023518626
cambodia,Tobacco,1.222,4.357,2.840309144
cambodia,"Tracheal, bronchus, and lung cancer",0.2,0.52,0.36518626
cambodia,Tuberculosis,0.63,0.935,0.787443154
cambodia,"Unsafe water, sanitation, and handwashing",0.355,0.332,0.343127238
cameroon,Alcohol use,0.413,1.165,0.801187712
cameroon,PM2.5 relative to WHO,0.844,0.991,2.59
cameroon,Cardiovascular diseases,3.614,2.952,3.272270924
cameroon,Child and maternal malnutrition,2.285,2.549,2.421278665
cameroon,Conflict and terrorism,0.032,0.065,0.049034833
cameroon,Dengue,0,0,0
cameroon,Diabetes mellitus,0.59,0.454,0.519795839
cameroon,Diarrheal diseases,1.225,1.504,1.369021771
cameroon,Dietary risks,0.922,0.892,0.906513788
cameroon,Drug use,0.031,0.04,0.035645864
cameroon,HIV/AIDS,2.628,1.738,2.168575714
cameroon,Household air pollution from solid fuels,1.178,1.006,1.089212385
cameroon,Low birth weight and short gestation,0.97,1.204,1.090792453
cameroon,Lower respiratory infections,1.459,1.477,1.468291727
cameroon,Malaria,1.94,1.91,1.924513788
