region,years,pop_weighted_avg_pm2.5
China,2000,36.097527899218505
China,2001,37.37144068514126
China,2002,40.061229594589896
China,2003,45.940562348908976
China,2004,44.62003911096908
China,2005,47.69840707107972
China,2006,50.74895253529297
China,2007,51.056108985211836
China,2008,50.50423601542601
China,2009,48.270700640147055
China,2010,47.0206703548839
China,2011,52.793900426558125
China,2012,49.163006567005034
China,2013,52.36538923130686
China,2014,49.885428805673314
China,2015,46.525122457535765
China,2016,43.027520791191854
China,2017,40.51933027724766
China,2018,35.47594969605184
China,2019,34.805984529676024
China,2020,31.63254800773242
Rest of the World,2000,15.30566180126847
Rest of the World,2001,16.00539696018177
Rest of the World,2002,16.034446470978267
Rest of the World,2003,16.184961344883927
Rest of the World,2004,15.986933279408651
Rest of the World,2005,16.61210733100796
Rest of the World,2006,16.585820460934166
Rest of the World,2007,16.67070428411461
Rest of the World,2008,16.325371102803693
Rest of the World,2009,16.494256913176315
Rest of the World,2010,16.551365420313243
Rest of the World,2011,16.924872617343528
Rest of the World,2012,16.565753138274584
Rest of the World,2013,16.226746929801777
Rest of the World,2014,16.031438964267373
Rest of the World,2015,16.26763056208053
Rest of the World,2016,15.577334984006022
Rest of the World,2017,15.367722992177324
Rest of the World,2018,15.204605430480015
Rest of the World,2019,15.486114004007618
Rest of the World,2020,15.129824457720588
South Asia,2000,37.44139009792749
South Asia,2001,40.841902542378314
South Asia,2002,40.724360582775816
South Asia,2003,43.6435267579534
South Asia,2004,43.182463689687246
South Asia,2005,44.69087835459407
South Asia,2006,46.920845209170736
South Asia,2007,48.066890872021844
South Asia,2008,50.617689264718436
South Asia,2009,50.845157977805734
South Asia,2010,51.216880210498346
South Asia,2011,54.274496002981635
South Asia,2012,50.390534746161904
South Asia,2013,51.499944445921464
South Asia,2014,50.62021388086979
South Asia,2015,50.85629194715901
South Asia,2016,53.57765511745508
South Asia,2017,51.11085296416136
South Asia,2018,52.54859970757132
South Asia,2019,52.53247363245465
South Asia,2020,54.81761230987764
