name_1_country,tot_pop,avg_pm2.5_2021,le_gain,llpp_who_2021,lyl_bucket,order_lyl_bucket
Jawa Barat (Indonesia),49104031,24.875018205939142,1.947751784182036,1.948644650171388,1 to < 2,4
Jawa Timur (Indonesia),41143691,19.601374536377886,1.430934704565033,1.4307701596339522,1 to < 2,4
Jawa Tengah (Indonesia),37159099,19.602569402718835,1.431051801466446,1.430309887761272,1 to < 2,4
Sumatera Utara (Indonesia),14960225,25.041742793306916,1.964090793744078,1.9638328708291486,1 to < 2,4
Metropolitan Manila (Philippines),13166130,26.695368080825574,2.1261460719209064,2.1253655311013944,2 to < 3,5
Banten (Indonesia),12070699,23.847167943629444,1.8470224584756856,1.8462848241017358,1 to < 2,4
Jakarta Raya (Indonesia),10677416,29.668532172952705,2.417516152949365,2.4182241742758737,2 to < 3,5
Hồ Chí Minh (Vietnam),9638558,31.088282528361606,2.5566516877794374,2.556515420667697,2 to < 3,5
Bangkok Metropolis (Thailand),9083654,20.5622222874187,1.5250977841670326,1.5252676477990024,1 to < 2,4
Lampung (Indonesia),9081441,14.152898579641711,0.8969840608048877,0.8970059509278318,0.5 to < 1,3
