Country,Region,Population (Hundred thousands),Annual Average 2021 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2021 concentration by 30 percent
Brunei,Berakas A,0.5,6.1,0.1,0.2
Brunei,Berakas B,0.5,5.9,0.1,0.2
Brunei,Kianggeh,0.5,6.6,0.2,0.2
Brunei,Gadong 'B',0.4,6.5,0.1,0.2
Brunei,Kuala Belait,0.4,5.2,0,0.2
Cambodia,Siem Reap,2.8,21,1.6,0.6
Cambodia,S'ang,2.5,20.7,1.5,0.6
Cambodia,Mean Chey,2.4,22,1.7,0.6
Cambodia,Chamkar Mon,2.3,21.6,1.6,0.6
Cambodia,Tboung Khmum,2.2,17.9,1.3,0.5
Indonesia,Bogor,55.3,30.4,2.5,0.9
Indonesia,Bandung,36.8,28.9,2.3,0.8
Indonesia,Tangerang,33,27.4,2.2,0.8
Indonesia,Bekasi,31.7,29.4,2.4,0.9
Indonesia,Jakarta Timur,30.9,31.4,2.6,0.9
Laos,Xaythany,1.9,29.2,2.4,0.9
Laos,Chanthabuly,1.7,29.8,2.4,0.9
Laos,Khanthabouly,1.5,23.3,1.8,0.7
Laos,Songkhone,1.3,23.6,1.8,0.7
Laos,Saravane,1.2,24.3,1.9,0.7
Malaysia,Kuala Lumpur,24,18.2,1.3,0.5
Malaysia,Petaling,17.6,18.2,1.3,0.5
Malaysia,Johor Baharu,15.8,13.3,0.8,0.4
Malaysia,Hulu Langat,14.3,19,1.4,0.6
Malaysia,Klang,10.6,17.4,1.2,0.5
Myanmar,Yangon (North),30.1,33.7,2.8,1
Myanmar,Yangon (East),27.1,33.3,2.8,1
Myanmar,Mandalay,19.2,45.4,4,1.3
Myanmar,Bago,19,33.3,2.8,1
Myanmar,Pathein,18.3,30.9,2.5,0.9
Philippines,Quezon City,29.1,27.7,2.2,0.8
Philippines,Davao City,18,18.9,1.4,0.6
Philippines,Manila,16.5,27.1,2.2,0.8
Philippines,Kalookan City,16.4,25.8,2,0.8
Philippines,Cebu City,9.9,18.1,1.3,0.5
Singapore,NA,13.5,13.2,0.8,0.4
Singapore,NA,13.4,13.1,0.8,0.4
Singapore,NA,13.3,12.9,0.8,0.4
Singapore,NA,9.9,12.8,0.8,0.4
Singapore,NA,8.3,13.1,0.8,0.4
Thailand,Muang Samut Prakan,9.8,20.6,1.5,0.6
Thailand,Muang Nonthaburi,6,20.3,1.5,0.6
Thailand,Muang Samut Sakhon,4.8,19.9,1.5,0.6
Thailand,Bang Khen,4.6,19.9,1.5,0.6
Thailand,Phra Pra Daeng,4.5,21.3,1.6,0.6
Timor-Leste,Dili Barat,2,12.1,0.7,0.4
Timor-Leste,Dili Timur,1.1,11.4,0.6,0.3
Timor-Leste,Baucau,0.6,8.5,0.3,0.2
Timor-Leste,Suai Kota,0.5,10.2,0.5,0.3
Timor-Leste,Hatólia,0.4,10.7,0.6,0.3
Vietnam,Biên Hòa,10.3,29.8,2.4,0.9
Vietnam,Bình Tân,7.7,30.9,2.5,0.9
Vietnam,Gò Vấp,7.1,32.7,2.7,1
Vietnam,Thuận An,6.6,32.1,2.7,0.9
Vietnam,Bình Thạnh,6.1,31.8,2.6,0.9
