country,cause_of_death,llpp_who_2021,lyl_bucket,order_lyl_bucket
Bangladesh,Cardiovascular diseases,7.033463414,>= 6,9
Bangladesh,PM2.5 relative to WHO guideline,6.8,>= 6,9
Bangladesh,High systolic blood pressure,3.243048786,3 to < 4,6
Bangladesh,Dietary risks,2.318097558,2 to < 3,5
Bangladesh,Tobacco,2.092414606,2 to < 3,5
Bangladesh,Neoplasms,1.717878047,1 to < 2,4
Bangladesh,High fasting plasma glucose,1.697878052,1 to < 2,4
Bangladesh,Household air pollution from solid fuels,1.630170733,1 to < 2,4
Bangladesh,Child and maternal malnutrition,1.425829268,1 to < 2,4
Bangladesh,Maternal and neonatal disorders,1.23902439,1 to < 2,4
