years,region,pop_weighted_avg_pm2.5
1998,National Average,45.39100180534779
1999,National Average,45.68055616325761
2000,National Average,51.31559211317922
2001,National Average,53.65926996220559
2002,National Average,53.42351147135815
2003,National Average,54.97610482436769
2004,National Average,54.44181888920596
2005,National Average,59.48223588037266
2006,National Average,64.13141571857035
2007,National Average,62.009049034673204
2008,National Average,65.24239535496567
2009,National Average,70.40497539732002
2010,National Average,65.87824416672062
2011,National Average,69.93176494108394
2012,National Average,70.66909553173842
2013,National Average,65.78935528398716
2014,National Average,68.81007923585483
2015,National Average,65.14595958048797
2016,National Average,65.38005756603827
2017,National Average,63.05932820182858
2018,National Average,75.78148643113026
2019,National Average,66.99702865517092
2020,National Average,75.59101197295152
2021,National Average,73.95798350400088
