objectid_gadm2,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021,continent.x,continent.y,continent,lyl_bucket,order_lyl_bucket
10870,CHN,China,Chongqing,Chongqing,30210175,5,35,38.42,40.23,40.98,41.71,46,47.47,49.19,53.58,57.8,54.33,56.46,53.47,56.47,59.59,55.57,56.26,50.24,45.07,43.79,38.23,32.82,34.04,29.23,30.68,3.27,3.45,3.53,3.6,4.02,4.16,4.33,4.76,5.17,4.83,5.04,4.75,5.04,5.35,4.96,5.02,4.43,3.93,3.8,3.26,2.73,2.85,2.37,2.52,0.33,0.51,0.59,0.66,1.08,1.22,1.39,1.82,2.23,1.89,2.1,1.81,2.1,2.41,2.02,2.08,1.49,0.99,0.86,0.32,0,0,0,0,Asia,NA,Asia,2 to < 3,5
11133,CHN,China,Shanghai,Shanghai,24151428,5,35,32.02,32.99,34.44,35.69,41.83,44.72,42.23,42.26,43.34,45.85,47.09,46.6,40.66,41.06,24.44,50.92,46.4,46.66,40.71,35.21,32.36,31.15,28.28,25.51,2.65,2.74,2.88,3.01,3.61,3.89,3.65,3.65,3.76,4,4.13,4.08,3.49,3.53,1.91,4.5,4.06,4.08,3.5,2.96,2.68,2.56,2.28,2.01,0,0,0,0.07,0.67,0.95,0.71,0.71,0.82,1.06,1.19,1.14,0.55,0.59,0,1.56,1.12,1.14,0.56,0.02,0,0,0,0,Asia,NA,Asia,2 to < 3,5
10869,CHN,China,Beijing,Beijing,20588854,5,35,50.29,47.25,55.82,55.34,50.43,71.63,64.67,64.91,76.73,77.78,74.81,80.42,81.41,85.25,79.31,84.98,80.2,73.39,65.9,52.88,45.14,41.29,38.23,37.21,4.44,4.14,4.98,4.93,4.45,6.53,5.85,5.87,7.03,7.13,6.84,7.39,7.49,7.86,7.28,7.84,7.37,6.7,5.97,4.69,3.93,3.56,3.26,3.16,1.5,1.2,2.04,1.99,1.51,3.59,2.91,2.93,4.09,4.19,3.9,4.45,4.55,4.92,4.34,4.9,4.43,3.76,3.03,1.75,0.99,0.62,0.32,0.22,Asia,NA,Asia,3 to < 4,6
11146,CHN,China,Sichuan,Chengdu,14031577,5,35,44.81,44.01,45.52,45.91,50.7,54.04,55.42,62.26,65.94,60.69,66.09,62.82,68.81,64.2,59.49,70.73,57.22,51.89,53.55,48.03,41.04,38.93,35.18,38.24,3.9,3.82,3.97,4.01,4.48,4.81,4.94,5.61,5.97,5.46,5.99,5.67,6.25,5.8,5.34,6.44,5.12,4.59,4.76,4.22,3.53,3.33,2.96,3.26,0.96,0.88,1.03,1.07,1.54,1.87,2,2.67,3.03,2.52,3.05,2.73,3.31,2.86,2.4,3.5,2.18,1.65,1.82,1.28,0.59,0.39,0.02,0.32,Asia,NA,Asia,3 to < 4,6
11167,CHN,China,Tianjin,Tianjin,13570963,5,35,45.85,43.24,49.46,48.89,51.51,65.43,59.86,64.15,73.66,73.17,70.6,71.93,67.18,72.29,67.05,75.8,79.31,67.13,65.36,56.3,48.93,47.89,47.21,40.52,4,3.75,4.36,4.3,4.56,5.92,5.38,5.8,6.73,6.68,6.43,6.56,6.09,6.59,6.08,6.94,7.28,6.09,5.91,5.03,4.31,4.2,4.14,3.48,1.06,0.81,1.42,1.36,1.62,2.98,2.44,2.86,3.79,3.74,3.49,3.62,3.15,3.65,3.14,4,4.34,3.15,2.97,2.09,1.37,1.26,1.2,0.54,Asia,NA,Asia,3 to < 4,6
10897,CHN,China,Guangdong,Guangzhou,13235943,5,35,29.74,28.35,32.9,35.95,36.83,40.4,45.11,43.07,46.92,48.19,47.21,44.91,40.01,47.14,47.94,46.29,42.78,35.21,32.92,34.85,31.63,28.79,22.93,24.47,2.42,2.29,2.73,3.03,3.12,3.47,3.93,3.73,4.11,4.23,4.14,3.91,3.43,4.13,4.21,4.05,3.7,2.96,2.74,2.92,2.61,2.33,1.76,1.91,0,0,0,0.09,0.18,0.53,0.99,0.79,1.17,1.29,1.2,0.97,0.49,1.19,1.27,1.11,0.76,0.02,0,0,0,0,0,0,Asia,NA,Asia,1 to < 2,4
10941,CHN,China,Hebei,Baoding,11701210,5,35,55.2,52.84,61.92,59.11,64.41,75.99,72.87,75.85,86.2,87.03,77.75,79.22,77.93,85.26,80.24,99.35,101.75,85.54,78.73,67.58,56.51,53.15,46,41.32,4.92,4.69,5.58,5.3,5.82,6.96,6.65,6.94,7.96,8.04,7.13,7.27,7.15,7.87,7.37,9.25,9.48,7.89,7.23,6.13,5.05,4.72,4.02,3.56,1.98,1.75,2.64,2.36,2.88,4.02,3.71,4,5.02,5.1,4.19,4.33,4.21,4.93,4.43,6.31,6.54,4.95,4.29,3.19,2.11,1.78,1.08,0.62,Asia,NA,Asia,3 to < 4,6
10954,CHN,China,Heilongjiang,Harbin,11158336,5,35,31.05,27.81,31.22,33.42,34.75,41.86,33.6,34.86,40.86,40.77,44.87,35.05,41.36,54.66,48.2,57.76,60.51,57.95,44.54,49.3,35.48,36.43,40.78,35.16,2.55,2.24,2.57,2.79,2.92,3.61,2.8,2.93,3.51,3.51,3.91,2.94,3.56,4.87,4.23,5.17,5.44,5.19,3.87,4.34,2.99,3.08,3.51,2.96,0,0,0,0,0,0.67,0,0,0.57,0.57,0.97,0,0.62,1.93,1.29,2.23,2.5,2.25,0.93,1.4,0.05,0.14,0.57,0.02,Asia,NA,Asia,2 to < 3,5
11038,CHN,China,Jiangsu,Suzhou,10920948,5,35,35.53,37.33,38.18,40.31,47.22,50.62,48.1,50.08,48.02,51.82,53.75,52.73,47.01,50.38,34.13,57.5,56.09,51.84,44.96,39.93,37.83,35.23,31.24,28.01,2.99,3.17,3.25,3.46,4.14,4.47,4.22,4.42,4.22,4.59,4.78,4.68,4.12,4.45,2.85,5.14,5.01,4.59,3.92,3.42,3.22,2.96,2.57,2.26,0.05,0.23,0.31,0.52,1.2,1.53,1.28,1.48,1.28,1.65,1.84,1.74,1.18,1.51,0,2.2,2.07,1.65,0.98,0.48,0.28,0.02,0,0,Asia,NA,Asia,2 to < 3,5
10972,CHN,China,Henan,Nanyang,10776229,5,35,37.12,33.97,43.57,42.82,44.48,50.96,48.52,64.39,61.63,60.96,57.26,58.1,59.96,70.85,64.03,68.79,57.31,57.01,51.5,46.55,45.27,44.44,39.22,34.84,3.15,2.84,3.78,3.71,3.87,4.5,4.27,5.82,5.55,5.48,5.12,5.2,5.39,6.45,5.79,6.25,5.13,5.1,4.56,4.07,3.95,3.87,3.35,2.92,0.21,0,0.84,0.77,0.93,1.56,1.33,2.88,2.61,2.54,2.18,2.26,2.45,3.51,2.85,3.31,2.19,2.16,1.62,1.13,1.01,0.93,0.41,0,Asia,NA,Asia,2 to < 3,5
