name_1,tot_pop,avg_pm2.5_2021,le_gain,llpp_who_2021,lyl_bucket,order_lyl_bucket
Guatemala,3490210,36.40088830185003,3.077287053581303,3.078130642568785,3 to < 4,6
Alta Verapaz,1401847,26.4675930112202,2.1038241150995796,2.103684439172035,2 to < 3,5
Huehuetenango,1385123,20.234268559543086,1.4929583188352225,1.4925229239569338,1 to < 2,4
San Marcos,1200460,23.49234955766956,1.812250256651617,1.8124906702430734,1 to < 2,4
Quiché,1097580,23.211509183840814,1.7847279000163998,1.785063312013703,1 to < 2,4
Quezaltenango,941625,25.22095751493429,1.9816538364635605,1.9816854692685517,1 to < 2,4
Escuintla,892355,34.9156579500311,2.9317344791030475,2.931813695222193,2 to < 3,5
Chimaltenango,724909,36.29788438272942,3.0671926695074836,3.068811064561207,3 to < 4,6
Petén,640142,14.012677218492145,0.8832423674122303,0.8845345876383677,0.5 to < 1,3
Suchitepéquez,630451,31.72543694910469,2.6190928210122597,2.6179826981002488,2 to < 3,5
