State/UT,Population (Lakhs),Annual Average 2021 PM2.5 Concentration (µg/m³),From 2021 concentration to WHO PM2.5 guideline of 5 µg/m³,From 2021 concentration to National PM2.5 guideline of 40 µg/m³
Andaman and Nicobar,3.7,19,1.4,0
Andhra Pradesh,521.7,31.6,2.6,0
Arunachal Pradesh,15.4,16.7,1.2,0
Assam,343.7,34.9,2.9,0
Bihar,1203.9,86.2,8,4.5
Chandigarh,11.7,48.6,4.3,0.8
Chhattisgarh,291,63.3,5.7,2.3
Dadra and Nagar Haveli,4.2,27.3,2.2,0
Daman and Diu,2.9,27.4,2.2,0
Goa,15.1,29.1,2.4,0
Gujarat,674.8,37.1,3.1,0
Haryana,285.1,90.1,8.3,4.9
Himachal Pradesh,73.7,30.6,2.5,0
Jammu and Kashmir,140.8,35.6,3,0
Jharkhand,374.7,64,5.8,2.4
Karnataka,666.4,29,2.4,0
Kerala,333.4,18.5,1.3,0
Ladakh,3.1,10.8,0.6,0
Lakshadweep,0.5,21,1.6,0
Madhya Pradesh,815.5,52.3,4.6,1.2
Maharashtra,1226.8,41.9,3.6,0.2
Manipur,31.8,33.8,2.8,0
Meghalaya,35.7,35.4,3,0
Mizoram,12.4,39.4,3.4,0
NCT of Delhi,180.3,126.5,11.9,8.5
Nagaland,19.4,28.7,2.3,0
Odisha,453.4,47.8,4.2,0.8
Puducherry,13,24.2,1.9,0
Punjab,297.7,70.3,6.4,3
Rajasthan,774.5,54.7,4.9,1.4
Sikkim,6.1,39.8,3.4,0
Tamil Nadu,788.2,28.2,2.3,0
Telangana,375,38.2,3.2,0
Tripura,40.2,67.3,6.1,2.7
Uttar Pradesh,2247.6,94.4,8.8,5.3
Uttarakhand,113.6,43.2,3.7,0.3
West Bengal,985.8,64.8,5.9,2.4
