Region,Population (Millions),Annual Average 2021 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2021 concentration to National PM2.5 guideline of 15 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2021 concentration by 30 percent
Lahore,9.3,81.8,7.5,6.5,2.4
Faisalabad,7.1,44.1,3.8,2.9,1.3
East Karachi,5.9,33.3,2.8,1.8,1
Rawalpindi,5.9,49.1,4.3,3.3,1.4
Multan,5.8,48.1,4.2,3.2,1.4
West Karachi,5.5,32.4,2.7,1.7,1
South Karachi,5.4,31.4,2.6,1.6,0.9
Bahawalpur,5.2,45.3,3.9,3,1.3
Rahim Yar Khan,5,50.3,4.4,3.5,1.5
Muzaffargarh,4.8,48.3,4.2,3.3,1.4
Peshawar,4.8,64.8,5.9,4.9,1.9
Gujranwala,4.5,62.5,5.6,4.7,1.8
Malir Karachi,4.3,33.4,2.8,1.8,1
Central Karachi,4.3,31.9,2.6,1.7,0.9
Sargodha,4.3,43.6,3.8,2.8,1.3
Bahawalnagar,3.9,48.6,4.3,3.3,1.4
Sialkot,3.6,59.6,5.4,4.4,1.8
Jhang,3.5,39.2,3.4,2.4,1.2
Gujrat,3.4,47.6,4.2,3.2,1.4
Bhakkar,3.3,39.3,3.4,2.4,1.2
Kasur,3.3,70.4,6.4,5.4,2.1
Khanewal,3.3,43.6,3.8,2.8,1.3
Vehari,3.2,46.6,4.1,3.1,1.4
Attock,3,47.6,4.2,3.2,1.4
Sheikhupura,3,72.2,6.6,5.6,2.1
