objectid_gadm2,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021,continent.x,continent.y,continent,pol_bucket,order_pol_bucket
30565,POL,Poland,Dolnośląskie,Bolesławiec,89596,5,25,20.86,19.17,18.98,21.17,23.28,23.14,19.69,21.82,21.23,16.59,16.2,18.29,23.25,20.11,16.89,17.78,17.87,15.15,15.72,15.69,16.44,12.46,12.29,13.58,1.55,1.39,1.37,1.58,1.79,1.78,1.44,1.65,1.59,1.14,1.1,1.3,1.79,1.48,1.17,1.25,1.26,1,1.05,1.05,1.12,0.73,0.71,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,10 to < 20,3
30566,POL,Poland,Dolnośląskie,Dzierżoniów,101417,5,25,25.45,24.61,23.98,27.42,29.21,29.26,24.82,27.49,27.86,21.09,20.61,23.44,28.07,25.37,22.34,22.87,21.82,19.02,19.65,19.47,19.83,15.33,15.52,17.8,2,1.92,1.86,2.2,2.37,2.38,1.94,2.2,2.24,1.58,1.53,1.81,2.26,2,1.7,1.75,1.65,1.37,1.44,1.42,1.45,1.01,1.03,1.25,0.04,0,0,0.24,0.41,0.42,0,0.24,0.28,0,0,0,0.3,0.04,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,10 to < 20,3
30567,POL,Poland,Dolnośląskie,Głogów,89395,5,25,23.07,21.42,20.75,23.46,25.44,25.74,21.3,23.12,23.68,18.37,17.89,20.15,25.58,20.9,18.15,18.63,19.38,17.19,17.44,17.85,18.1,14,13.23,15.27,1.77,1.61,1.54,1.81,2,2.03,1.6,1.78,1.83,1.31,1.26,1.48,2.02,1.56,1.29,1.34,1.41,1.19,1.22,1.26,1.28,0.88,0.81,1.01,0,0,0,0,0.04,0.07,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,10 to < 20,3
30568,POL,Poland,Dolnośląskie,Góra,35297,5,25,24.28,23.09,22.14,25.55,27.89,27.43,22.53,24.59,25.1,19.64,19.22,21.91,27.17,22.2,19.21,19.94,20.38,18.37,18.51,19.2,19.36,15.04,14.04,16.52,1.89,1.77,1.68,2.01,2.24,2.2,1.72,1.92,1.97,1.44,1.39,1.66,2.17,1.69,1.39,1.46,1.51,1.31,1.32,1.39,1.41,0.98,0.89,1.13,0,0,0,0.05,0.28,0.24,0,0,0.01,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,10 to < 20,3
30569,POL,Poland,Dolnośląskie,Jawor,50615,5,25,24.23,22.41,22.27,24.75,27.06,26.79,22.96,25.78,24.87,19.59,18.86,21.13,27.19,23.44,20.22,21.03,20.53,17.67,18.43,18.48,19.43,14.56,14.72,16.38,1.88,1.71,1.69,1.94,2.16,2.14,1.76,2.04,1.95,1.43,1.36,1.58,2.17,1.81,1.49,1.57,1.52,1.24,1.32,1.32,1.41,0.94,0.95,1.11,0,0,0,0,0.2,0.18,0,0.08,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,10 to < 20,3
30570,POL,Poland,Dolnośląskie,Jelenia Góra,63596,5,25,18.86,17.64,18.21,20.54,22.32,22.2,18.69,21.3,21.26,15.52,15.28,16.76,21.64,18.71,16,16.59,16.62,13.66,14.6,14.62,15.37,11.45,11.64,13.43,1.36,1.24,1.29,1.52,1.7,1.69,1.34,1.6,1.59,1.03,1.01,1.15,1.63,1.34,1.08,1.14,1.14,0.85,0.94,0.94,1.02,0.63,0.65,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,10 to < 20,3
30571,POL,Poland,Dolnośląskie,Jelenia Góra (City),79680,5,25,21.78,20.14,20.82,23.72,25.64,25.23,21.45,24.42,24.31,18.03,17.69,19.48,25.89,21.72,18.44,18.89,19.08,15.68,17.05,16.73,17.67,13.24,13.65,15.59,1.64,1.48,1.55,1.83,2.02,1.98,1.61,1.9,1.89,1.28,1.24,1.42,2.05,1.64,1.32,1.36,1.38,1.05,1.18,1.15,1.24,0.81,0.85,1.04,0,0,0,0,0.06,0.02,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,10 to < 20,3
30572,POL,Poland,Dolnośląskie,Kamienna Góra,43671,5,25,19.85,18.7,18.9,21.57,23.69,23.33,19.63,22.29,23.04,16.37,16.33,17.93,23.01,20.1,17.64,18.29,17.84,15.03,15.79,15.93,16.47,12.43,12.68,14.34,1.45,1.34,1.36,1.62,1.83,1.8,1.43,1.69,1.77,1.11,1.11,1.27,1.77,1.48,1.24,1.3,1.26,0.98,1.06,1.07,1.12,0.73,0.75,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,10 to < 20,3
30573,POL,Poland,Dolnośląskie,Kłodzko,159333,5,25,22.14,21.58,21.37,23.95,25.49,25.26,21.89,24.41,25.11,18.34,18.12,20.8,24.02,22.1,19.73,20.06,19.35,16.55,17.16,16.82,17.09,13.4,13.63,15.74,1.68,1.63,1.6,1.86,2.01,1.99,1.66,1.9,1.97,1.31,1.29,1.55,1.86,1.68,1.44,1.48,1.41,1.13,1.19,1.16,1.18,0.82,0.85,1.05,0,0,0,0,0.05,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,10 to < 20,3
30574,POL,Poland,Dolnośląskie,Legnica,54854,5,25,23.1,21.69,21.56,23.9,25.91,25.76,21.62,24.19,23.29,18.75,17.92,20.5,26.08,21.9,19.01,19.9,19.5,16.8,17.16,17.54,18.27,13.64,13.61,15.31,1.77,1.64,1.62,1.85,2.05,2.03,1.63,1.88,1.79,1.35,1.27,1.52,2.07,1.66,1.37,1.46,1.42,1.16,1.19,1.23,1.3,0.85,0.84,1.01,0,0,0,0,0.09,0.07,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,Europe,NA,Europe,10 to < 20,3
