objectid_gadm2,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021,continent.x,continent.y,continent,lyl_bucket,order_lyl_bucket
38049,KOR,South Korea,Gyeonggi-do,Suwon,1270373,5,15,20.04,20.99,24.71,23.94,20.31,28.79,24.17,23.54,25.93,26.15,26.12,24.96,22.32,23.12,23.72,26.44,26.49,26.22,25.12,22.94,23.33,24.18,23.38,23.24,1.47,1.57,1.93,1.86,1.5,2.33,1.88,1.82,2.05,2.07,2.07,1.96,1.7,1.78,1.83,2.1,2.11,2.08,1.97,1.76,1.8,1.88,1.8,1.79,0.49,0.59,0.95,0.88,0.52,1.35,0.9,0.84,1.07,1.09,1.09,0.98,0.72,0.8,0.85,1.12,1.13,1.1,0.99,0.78,0.82,0.9,0.82,0.81,Asia,NA,Asia,> 1 - 2,4
38033,KOR,South Korea,Gyeonggi-do,Goyang,1047957,5,15,19.21,20.33,23.36,22.46,19.61,28.45,23.24,23.59,26,25.15,25.33,24.08,21.85,23.54,22.86,25.92,26.87,25.77,25.28,22.15,22.22,23.4,22.51,23.16,1.39,1.5,1.8,1.71,1.43,2.3,1.79,1.82,2.06,1.97,1.99,1.87,1.65,1.82,1.75,2.05,2.14,2.04,1.99,1.68,1.69,1.8,1.72,1.78,0.41,0.52,0.82,0.73,0.45,1.32,0.81,0.84,1.08,0.99,1.01,0.89,0.67,0.84,0.77,1.07,1.16,1.06,1.01,0.7,0.71,0.82,0.74,0.8,Asia,NA,Asia,> 1 - 2,4
38081,KOR,South Korea,Gyeongsangnam-do,Changwon,1034268,5,15,17.33,17.34,20.81,18.64,19.74,23.88,20.08,21.28,21.97,22.29,21.68,22.54,20.99,21.26,22.07,20.97,22.17,21.05,20.82,20.4,19.93,19.95,18.84,18.29,1.21,1.21,1.55,1.34,1.44,1.85,1.48,1.6,1.66,1.69,1.63,1.72,1.57,1.59,1.67,1.56,1.68,1.57,1.55,1.51,1.46,1.47,1.36,1.3,0.23,0.23,0.57,0.36,0.46,0.87,0.5,0.62,0.68,0.71,0.65,0.74,0.59,0.61,0.69,0.58,0.7,0.59,0.57,0.53,0.48,0.49,0.38,0.32,Asia,NA,Asia,> 1 - 2,4
38056,KOR,South Korea,Gyeonggi-do,Yongin,1034043,5,15,19.28,20.14,23.55,23.32,19.93,28.38,23.61,23.2,25.36,25.78,25.36,24.25,21.82,22.47,23.24,26,25.59,25.22,24.1,22.24,22.51,23.18,22.51,22.28,1.4,1.48,1.82,1.8,1.46,2.29,1.82,1.78,2,2.04,2,1.89,1.65,1.71,1.79,2.06,2.02,1.98,1.87,1.69,1.72,1.78,1.72,1.69,0.42,0.5,0.84,0.82,0.48,1.31,0.84,0.8,1.02,1.06,1.02,0.91,0.67,0.73,0.81,1.08,1.04,1,0.89,0.71,0.74,0.8,0.74,0.71,Asia,NA,Asia,> 1 - 2,4
38047,KOR,South Korea,Gyeonggi-do,Seongnam,1001562,5,15,18.29,19.2,22.37,22.24,18.96,26.91,22.11,22.09,24.31,24.24,23.61,22.27,20.42,21.44,21.71,24.53,24.31,23.49,22.15,20.25,20.62,21.38,20.57,20.4,1.3,1.39,1.7,1.69,1.37,2.15,1.68,1.68,1.89,1.89,1.82,1.69,1.51,1.61,1.64,1.91,1.89,1.81,1.68,1.49,1.53,1.61,1.53,1.51,0.32,0.41,0.72,0.71,0.39,1.17,0.7,0.7,0.91,0.91,0.84,0.71,0.53,0.63,0.66,0.93,0.91,0.83,0.7,0.51,0.55,0.63,0.55,0.53,Asia,NA,Asia,> 1 - 2,4
38029,KOR,South Korea,Gyeonggi-do,Bucheon,888173,5,15,21.4,22.62,25.61,24.58,21.22,30.98,24.93,24.9,27.84,27.5,27.32,26.23,23.75,24.43,24.18,27.6,28.73,27.85,27.52,24.17,24.98,26.18,24.75,25.81,1.61,1.73,2.02,1.92,1.59,2.55,1.95,1.95,2.24,2.2,2.19,2.08,1.84,1.9,1.88,2.21,2.33,2.24,2.21,1.88,1.96,2.08,1.94,2.04,0.63,0.75,1.04,0.94,0.61,1.57,0.97,0.97,1.26,1.22,1.21,1.1,0.86,0.92,0.9,1.23,1.35,1.26,1.23,0.9,0.98,1.1,0.96,1.06,Asia,NA,Asia,> 2 - 3,5
37965,KOR,South Korea,Chungcheongbuk-do,Cheongju,835873,5,15,17.03,17.6,21.36,20.99,18.74,25.89,22.6,23.17,22.93,24.01,23.56,23.41,21.2,21.37,23.6,24.72,22.94,23.21,22.14,20.5,20.34,20.87,19.96,19.47,1.18,1.23,1.6,1.57,1.35,2.05,1.72,1.78,1.76,1.86,1.82,1.8,1.59,1.6,1.82,1.93,1.76,1.78,1.68,1.52,1.5,1.55,1.47,1.42,0.2,0.25,0.62,0.59,0.37,1.07,0.74,0.8,0.78,0.88,0.84,0.82,0.61,0.62,0.84,0.95,0.78,0.8,0.7,0.54,0.52,0.57,0.49,0.44,Asia,NA,Asia,> 1 - 2,4
38026,KOR,South Korea,Gyeonggi-do,Ansan,778210,5,15,21.56,22.6,25.57,24.5,20.64,29.87,24.57,23.99,26.37,26.89,26.52,25.45,22.52,23.56,23.56,26.45,27.4,26.63,25.81,23,23.66,24.69,23.52,23.78,1.62,1.72,2.02,1.91,1.53,2.44,1.92,1.86,2.09,2.15,2.11,2,1.72,1.82,1.82,2.1,2.2,2.12,2.04,1.76,1.83,1.93,1.82,1.84,0.64,0.74,1.04,0.93,0.55,1.46,0.94,0.88,1.11,1.17,1.13,1.02,0.74,0.84,0.84,1.12,1.22,1.14,1.06,0.78,0.85,0.95,0.84,0.86,Asia,NA,Asia,> 1 - 2,4
38040,KOR,South Korea,Gyeonggi-do,Hwaseong,687919,5,15,20.56,21.75,25.3,24.49,20.73,29.19,24.84,24.36,26.5,27.37,27.47,26.56,23.9,24.23,25.14,27.23,27.51,27.48,26.92,24.27,24.77,25.43,24.98,24.77,1.52,1.64,1.99,1.91,1.54,2.37,1.94,1.9,2.11,2.19,2.2,2.11,1.85,1.88,1.97,2.18,2.21,2.2,2.15,1.89,1.94,2,1.96,1.94,0.54,0.66,1.01,0.93,0.56,1.39,0.96,0.92,1.13,1.21,1.22,1.13,0.87,0.9,0.99,1.2,1.23,1.22,1.17,0.91,0.96,1.02,0.98,0.96,Asia,NA,Asia,> 1 - 2,4
38042,KOR,South Korea,Gyeonggi-do,Namyangju,675331,5,15,16.68,17.56,19.97,20.31,17.09,25.34,20.41,20.91,22.66,21.89,21.27,20.15,18.64,20.16,19.87,22.65,22.62,20.74,20.26,19.15,18.47,19.21,18.6,18.69,1.14,1.23,1.47,1.5,1.18,1.99,1.51,1.56,1.73,1.65,1.59,1.48,1.34,1.49,1.46,1.73,1.73,1.54,1.5,1.39,1.32,1.39,1.33,1.34,0.16,0.25,0.49,0.52,0.2,1.01,0.53,0.58,0.75,0.67,0.61,0.5,0.36,0.51,0.48,0.75,0.75,0.56,0.52,0.41,0.34,0.41,0.35,0.36,Asia,NA,Asia,> 1 - 2,4
