country,cause_of_death,llpp_who_2021,lyl_bucket,order_lyl_bucket
Thailand,Cardiovascular diseases,3.621612403,3 to < 4,6
Thailand,Neoplasms,3.207631784,3 to < 4,6
Thailand,Tobacco,1.956511634,1 to < 2,4
Thailand,High systolic blood pressure,1.905,1 to < 2,4
Thailand,PM2.5 relative to WHO guideline,1.8,1 to < 2,4
Thailand,High fasting plasma glucose,1.772709302,1 to < 2,4
Thailand,Dietary risks,1.33957752,1 to < 2,4
Thailand,Diabetes and kidney diseases,1.233189921,1 to < 2,4
Thailand,High body-mass index,1.121306201,1 to < 2,4
Thailand,Respiratory infections and tuberculosis,1.098678295,1 to < 2,4
