District,Population (Hundred thousands),Annual Average 2021 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 concentration to WHO PM2.5 guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2021 concentration to National PM2.5 standard of 15 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2021 concentration by 30 percent
Muang Samut Prakan,9.8,20.6,1.5,0.5,0.6
Muang Nonthaburi,6,20.3,1.5,0.5,0.6
Muang Samut Sakhon,4.8,19.9,1.5,0.5,0.6
Bang Khen,4.6,19.9,1.5,0.5,0.6
Phra Pra Daeng,4.5,21.3,1.6,0.6,0.6
Muang Nakhon Ratchasima,4.3,29.7,2.4,1.4,0.9
Hat Yai,4.3,19.3,1.4,0.4,0.6
Muang Chon Buri,4.1,17.2,1.2,0.2,0.5
Bang Plee,4,21.4,1.6,0.6,0.6
Muang Nakhon Pathom,3.8,21.1,1.6,0.6,0.6
Chatuchak,3.7,20.3,1.5,0.5,0.6
Muang Khon Kaen,3.7,25.7,2,1,0.8
Pak Kret,3.6,21.1,1.6,0.6,0.6
Khlong Luang,3.5,22.9,1.8,0.8,0.7
Lam Luk Ka,3.5,21.2,1.6,0.6,0.6
Muang Phuket,3.3,13.2,0.8,0,0.4
Muang Udon Thani,3.3,25.2,2,1,0.7
Muang Rayong,3.3,15.4,1,0,0.5
Muang Pathum Thani,3.1,22,1.7,0.7,0.6
Chom Thong,3,19.7,1.4,0.5,0.6
Krathum Baen,2.9,19.1,1.4,0.4,0.6
Muang Phitsanulok,2.8,31.3,2.6,1.6,0.9
Muang Nakhon Si Thammarat,2.8,21,1.6,0.6,0.6
Thanyaburi,2.8,21.6,1.6,0.6,0.6
Suan Luang,2.8,20.3,1.5,0.5,0.6
