City,State,City (Census 2011) Population,2017 PM2.5 Concentrations (µg/m³),2017 PM2.5 Concentrations (after 40% reduction),Life Expectancy Gains (in years) from a 40% reduction
Mumbai,Maharashtra,12442373,38,22.8,1.5
NCT of Delhi,NCT of Delhi,11034555,113.3,68,4.4
Bengaluru,Karnataka,8443675,38.8,23.3,1.5
Hyderabad,Telangana,6809970,43,25.8,1.7
Ahmedabad,Gujarat,5570585,46.4,27.8,1.8
*Chennai,Tamil Nadu,4646732,34.4,20.6,1.3
Kolkata,West Bengal,4486679,56.4,33.8,2.2
Surat,Gujarat,4467797,34.1,20.5,1.3
*Vadodara,Gujarat,3552371,36.7,22,1.4
Pune,Maharashtra,3115431,42.7,25.6,1.7
Jaipur,Rajasthan,3046163,52.4,31.4,2.1
Lucknow,Uttar Pradesh,2815601,101.9,61.1,4
Kanpur,Uttar Pradesh,2767031,93.7,56.2,3.7
Nagpur,Maharashtra,2405665,47.9,28.7,1.9
Indore,Madhya Pradesh,1960631,40.9,24.5,1.6
*Thane,Maharashtra,1818872,36.3,21.8,1.4
Bhopal,Madhya Pradesh,1798218,42.4,25.4,1.7
Vishakhapatnam,Andhra Pradesh,1728128,33.5,20.1,1.3
Patna,Bihar,1684222,83.4,50,3.3
Ghaziabad,Uttar Pradesh,1648643,98.8,59.3,3.9
Ludhiana,Punjab,1618879,70.4,42.2,2.8
Agra,Uttar Pradesh,1585704,95.2,57.1,3.7
Nashik,Maharashtra,1486053,33.7,20.2,1.3
*Faridabad,Haryana,1414050,99.8,59.9,3.9
*Meerut,Uttar Pradesh,1305429,71.7,43,2.8
*Rajkot,Gujarat,1286678,24.9,14.9,1
*Vasai-Virar,Maharashtra,1222390,30.4,18.2,1.2
Varanasi,Uttar Pradesh,1201815,88.7,53.2,3.5
Srinagar,Jammu and Kashmir,1180570,35.7,21.4,1.4
Aurangabad,Maharashtra,1175116,39.6,23.8,1.6
Dhanbad,Jharkhand,1162472,68.5,41.1,2.7
Amritsar,Punjab,1132383,68.9,41.3,2.7
